,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),"Suicide rate, female (per 100,000 people)","Suicide rate, male (per 100,000 people)",Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Mauritius,17.7,36.3,24.0,0.2,2.3,3.86,1.26,3.0,70.8,0.546,11.4,49.3,56.7,6179.0,15923.0,12.2,12.1,12.4,123.3,5.8,20.6,20.6,73.9,0.9129999999999999,0.452,3.8,26.1,11077.0,13.1,91.0,105.0,77.0,11.0,22.9,11011.0,0.4,24.0,2.2,0.638,0.6990000000000001,0.6729999999999999,0.71,26.1,12.0,16.0,656.0,7.3,40.7,79.9,60.0,71.2,74.8,67.8,0.7879999999999999,0.6990000000000001,40.0,6.2,5.5,7.0,29.0,15.2,114.0,16.3,232.0,18.5,-1.5,-1.5,-1.5,-1.5,-1.5,0.5,9.0,79.9,26.1,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,99.3,91.4,-1.5,39.1,33.3,44.7,0.8,0.1,1.2,0.1,42.7,2.2,-2.5,99.7,26.0,2.2,3.86,20.4,98.3,1.04,34.2,5.7,5.3,19.3,2.6,24.0,5.4,14.4,17.4,2.4,37.8,1.26
 Mexico,11.4,83.0,23.0,0.25,3.9,1.06,1.14,4.9,28.0,0.5479999999999999,17.7,55.3,58.8,8415.0,21304.0,11.7,11.7,11.7,52.4,2.6,34.9,34.9,87.3,0.922,0.49200000000000005,4.1,23.0,15683.0,1595.3,72.0,107.0,70.0,19.0,21.5,14814.0,0.2,23.0,10.6,0.669,0.725,0.7020000000000001,0.755,23.0,1.0,4.0,20641.0,5.1,38.9,82.6,60.3,74.4,76.8,71.9,0.836,0.725,77.0,6.7,6.3,7.1,22.7,13.8,93.0,22.5,166.0,26.8,-4.8,-4.8,-4.8,-4.8,-4.8,-0.0,8.3,82.6,23.0,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,89.3,76.3,-4.8,40.0,37.0,43.3,61.7,5.1,101.7,12.0,74.7,10.6,-2.8,88.6,27.0,10.6,1.06,12.2,93.1,1.05,36.9,15.9,1.1,6.6,1.5,23.0,2.6,5.0,31.7,20.5,56.4,1.14
 Moldova (Republic of),-0.1,58.1,80.0,0.42,1.0,13.78,0.91,5.8,25.2,0.617,50.9,35.2,46.6,2032.0,2721.0,11.4,11.7,11.1,125.2,9.9,9.9,9.9,91.5,0.987,0.42,4.5,23.9,2321.0,8.4,42.0,101.0,82.0,33.0,15.4,2362.0,0.1,80.0,10.3,0.594,0.602,0.597,0.478,23.9,2.0,11.0,18.0,1.3,49.9,52.0,50.9,67.0,71.0,63.0,0.723,0.602,49.0,9.0,8.8,9.5,31.3,3.3,159.0,25.9,323.0,31.1,-7.7,-7.7,-7.7,-7.7,-7.7,9.4,14.0,52.0,23.9,-7.7,-7.7,-7.7,-7.7,-7.7,-7.7,84.1,72.1,-7.7,81.8,76.5,84.9,2.8,0.4,4.2,0.2,44.6,10.3,-19.0,98.0,21.0,10.3,13.78,5.7,97.9,1.05,54.1,7.9,4.2,30.5,0.63,80.0,8.5,17.6,30.3,52.4,34.9,0.91
 Mongolia,3.2,31.4,162.0,0.67,3.1,0.1,1.01,5.5,9.0,0.534,53.0,35.9,57.6,4035.0,5276.0,9.4,10.3,8.5,121.9,4.7,7.5,7.5,93.9,1.0090000000000001,0.452,5.5,29.0,4655.0,11.2,29.0,99.0,65.0,30.0,25.2,4654.0,0.1,162.0,4.9,0.599,0.594,0.589,0.58,29.0,5.0,8.0,137.0,1.3,54.4,66.4,60.4,62.9,65.9,60.1,0.66,0.594,161.0,8.2,8.7,8.9,22.0,6.4,207.0,48.6,329.0,63.4,-4.5,-4.5,-4.5,-4.5,-4.5,19.3,6.0,66.4,29.0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,65.0,48.0,-4.5,80.2,77.8,82.8,1.5,0.1,2.4,0.2,57.1,4.9,-4.7,96.6,33.0,4.9,0.1,5.7,25.1,1.03,46.8,10.5,13.0,51.6,0.92,162.0,4.6,9.2,57.1,39.6,56.5,1.01
 Morocco,18.5,33.9,115.0,0.26,1.2,5.56,0.95,4.0,77.3,0.348,43.9,35.0,44.1,1771.0,7064.0,8.5,7.7,9.3,59.2,0.6,11.2,11.2,86.5,0.777,0.7040000000000001,4.1,26.4,4484.0,130.8,61.0,92.0,39.0,10.0,27.0,4394.0,0.1,115.0,1.6,0.452,0.5820000000000001,0.53,0.5710000000000001,26.4,2.0,7.0,4278.0,0.7,25.3,78.1,51.0,68.7,70.2,67.2,0.75,0.5820000000000001,221.0,3.4,2.3,4.3,22.7,8.1,133.0,42.0,173.0,49.8,-4.0,-4.0,-4.0,-4.0,-4.0,1.2,8.6,78.1,26.4,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,64.1,68.7,-4.0,21.4,14.9,23.9,17.7,1.5,28.9,3.1,53.3,1.6,-1.0,96.3,29.0,1.6,5.56,15.3,37.1,1.06,21.1,0.7,6.5,14.6,0.98,115.0,13.6,20.6,59.3,25.9,54.8,0.95
 Mozambique,6.8,189.0,513.0,0.13,0.1,0.73,0.97,3.7,9.3,0.23600000000000002,81.5,14.8,66.6,502.0,590.0,5.8,4.9,6.7,52.4,2.8,52.4,52.4,6.7,0.8290000000000001,0.635,4.1,33.1,562.0,10.1,45.0,74.0,6.0,22.0,22.1,544.0,10.4,513.0,4.9,0.26899999999999996,0.325,0.298,0.256,33.1,16.0,29.0,813.0,0.1,87.6,82.6,85.3,48.3,50.0,46.6,0.436,0.325,915.0,2.2,1.6,3.0,17.4,0.3,407.0,117.5,466.0,175.6,-0.6,-0.6,-0.6,-0.6,-0.6,18.8,5.9,82.6,33.1,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,22.2,12.0,-0.6,2.5,5.2,12.2,9.4,0.6,18.1,3.3,29.1,4.9,-2.05,96.3,64.0,4.9,0.73,93.6,87.9,1.03,27.1,30.0,7.5,23.2,1.23,513.0,21.9,38.3,87.4,94.9,86.6,0.97
 Myanmar,6.8,39.1,411.0,0.17,0.2,1.15,1.07,1.8,31.2,0.319,75.8,14.3,70.9,908.0,1710.0,7.8,11.850000000000001,11.7,1.2,2.9,53.4,53.4,27.2,0.9329999999999999,0.47400000000000003,4.1,22.0,1306.0,60.2,45.0,101.0,37.0,22.0,20.4,1300.0,0.8,411.0,2.3,0.64,0.688,0.431,0.387,22.0,13.0,16.0,416.0,2.0,58.9,85.2,71.6,62.1,64.2,60.1,0.648,0.688,308.0,3.1,3.1,3.0,23.4,0.0,211.0,65.6,271.0,90.0,-2.4,-2.4,-2.4,-2.4,-2.4,1.2,7.6,85.2,22.0,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,54.8,69.6,-2.4,14.5,17.2,11.7,29.1,2.2,46.1,5.1,27.0,2.3,-2.05,96.3,33.0,2.3,1.15,80.2,28.9,1.03,42.8,10.4,2.8,4.7,1.38,411.0,0.9,1.6,81.3,95.8,51.0,1.07
 Namibia,19.1,90.4,711.0,0.14,0.9,0.23,1.13,11.5,42.7,0.51,31.3,56.4,45.0,4589.0,7803.0,11.7,11.6,11.7,85.4,5.0,9.8,9.8,62.2,0.951,0.546,7.0,17.1,6106.0,11.6,45.0,114.0,60.0,22.0,16.6,6160.0,15.5,711.0,20.0,0.5429999999999999,0.5710000000000001,0.5579999999999999,0.622,17.1,10.0,31.0,656.0,1.6,48.9,64.5,56.4,55.6,58.1,53.1,0.5479999999999999,0.5710000000000001,352.0,5.6,5.5,5.7,19.5,4.3,412.0,48.5,480.0,74.6,4.0,4.0,4.0,4.0,4.0,3.9,5.9,64.5,17.1,4.0,4.0,4.0,4.0,4.0,4.0,77.4,28.4,4.0,27.7,26.6,29.3,1.1,0.1,1.9,0.3,32.4,20.0,6.9,75.5,32.0,20.0,0.23,33.5,13.2,1.03,45.0,20.4,6.5,21.5,1.26,711.0,20.3,41.5,27.5,43.3,72.1,1.13
 Nepal,15.8,124.5,163.0,0.08,0.1,2.03,0.78,3.6,40.8,0.33,72.2,16.5,84.2,1071.0,1986.0,9.0,7.6,10.4,55.7,-0.0,27.2,27.2,12.0,0.77,0.6679999999999999,3.0,24.3,1540.0,36.6,12.0,120.0,36.0,4.0,19.3,1526.0,0.2,163.0,2.7,0.384,0.499,0.446,0.41200000000000003,24.3,16.0,29.0,464.0,0.2,81.4,90.3,85.7,62.4,63.4,61.3,0.652,0.499,548.0,2.4,1.2,3.6,19.3,0.0,218.0,60.3,256.0,81.7,-4.1,-4.1,-4.1,-4.1,-4.1,7.0,6.8,90.3,24.3,-4.1,-4.1,-4.1,-4.1,-4.1,-4.1,79.5,19.2,-4.1,19.2,9.5,30.0,13.1,0.9,23.7,3.6,13.4,2.7,0.0,11.9,38.0,2.7,2.03,88.3,18.8,1.07,33.3,7.9,10.0,12.8,0.8,163.0,1.8,2.8,72.9,75.1,74.2,0.78
 Netherlands,16.8,6.2,9.0,0.26,10.9,0.1,1.13,7.1,34.5,0.821,3.3,75.1,61.1,31543.0,53451.0,16.6,16.4,16.8,126.5,15.3,10.7,10.7,93.9,0.9570000000000001,0.096,4.6,23.0,41722.0,664.4,45.0,108.0,122.0,52.0,22.9,42395.0,0.1,9.0,1.1,0.857,0.895,0.8759999999999999,0.914,23.0,1.0,4.0,10003.0,44.0,53.2,72.8,62.8,78.2,80.7,75.6,0.895,0.895,14.0,10.8,10.6,11.4,37.5,67.5,67.0,5.1,100.0,6.2,2.3,2.3,2.3,2.3,2.3,2.45,20.0,72.8,23.0,2.3,2.3,2.3,2.3,2.3,2.3,100.0,98.1,2.3,84.9,81.8,88.3,10.8,2.2,15.9,1.0,76.8,1.1,5.3,96.3,25.0,1.1,0.1,1.8,100.0,1.06,43.1,32.9,5.2,11.3,1.59,9.0,2.7,5.3,8.0,37.6,27.2,1.13
 New Zealand,10.6,29.9,10.0,0.31,8.5,0.41,0.93,7.5,108.0,0.8690000000000001,8.7,68.0,60.7,19606.0,32909.0,17.4,18.2,16.6,68.5,-2.9,38.5,38.5,69.5,0.9790000000000001,0.19,4.1,22.0,27620.0,106.6,45.0,100.0,111.0,22.0,20.9,26135.0,0.4,10.0,1.3,0.862,0.88,0.8690000000000001,0.841,22.0,4.0,15.0,1780.0,47.4,56.7,73.2,64.7,78.3,80.7,75.8,0.897,0.88,12.0,11.6,11.9,12.2,34.3,40.0,67.0,6.1,104.0,7.4,2.3,2.3,2.3,2.3,2.3,2.45,18.0,73.2,22.0,2.3,2.3,2.3,2.3,2.3,2.3,100.0,100.0,2.3,67.7,72.1,74.3,2.5,0.5,3.9,0.3,86.0,1.3,-2.8,97.3,18.0,1.3,0.41,29.0,100.0,1.06,46.7,30.8,4.4,20.7,0.95,10.0,6.1,13.5,13.7,37.6,34.7,0.93
 Nicaragua,0.7,125.2,60.0,0.22,0.7,6.27,1.07,5.2,72.2,0.457,31.3,50.4,55.7,1721.0,4932.0,10.4,10.7,10.1,61.3,5.2,31.7,31.7,46.0,0.9059999999999999,0.605,3.0,26.7,3456.0,17.4,31.0,105.0,53.0,22.0,20.4,3310.0,0.4,60.0,9.5,0.534,0.59,0.57,0.529,26.7,3.0,14.0,486.0,1.0,38.6,86.5,61.8,69.7,72.5,67.0,0.765,0.59,202.0,5.1,4.9,5.3,19.4,1.8,150.0,32.7,244.0,40.4,-6.0,-6.0,-6.0,-6.0,-6.0,11.5,6.8,86.5,26.7,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,80.6,60.4,-6.0,25.9,28.6,31.5,2.8,0.2,5.0,0.7,55.2,9.5,-5.2,96.3,36.0,9.5,6.27,58.4,47.8,1.05,42.2,9.7,6.9,26.7,1.1,60.0,9.8,14.7,46.3,34.7,70.1,1.07
 Niger,-13.4,219.6,191.0,0.08,0.1,0.8,0.73,5.7,9.2,0.11599999999999999,77.1,16.2,77.0,541.0,916.0,2.9,2.3,3.5,43.5,0.9,1.0,1.0,14.4,0.706,0.797,3.2,11.4,753.0,8.6,1.0,32.0,7.0,22.0,11.2,727.0,1.1,191.0,4.9,0.207,0.293,0.252,0.3,11.4,54.0,63.0,50.0,0.0,67.8,90.4,78.7,49.9,50.5,49.3,0.46,0.293,794.0,1.1,0.5,1.7,15.9,0.0,278.0,97.6,305.0,226.5,0.5,0.5,0.5,0.5,0.5,11.7,4.9,90.4,11.4,0.5,0.5,0.5,0.5,0.5,0.5,38.0,6.0,0.5,3.8,1.4,6.5,5.6,0.3,11.4,2.3,16.2,4.9,-1.0,15.7,41.0,4.9,0.8,87.7,0.4,1.05,49.7,1.2,6.0,11.2,0.52,191.0,2.1,4.3,89.9,89.8,97.6,0.73
 Nigeria,4.1,136.6,219.0,0.22,0.6,3.0,1.14,2.6,10.0,0.585,57.3,33.6,52.6,1779.0,3111.0,8.0,7.1,8.8,71.4,2.5,14.4,14.4,18.4,0.9329999999999999,0.47400000000000003,4.1,7.0,2848.0,348.5,45.0,99.0,25.0,22.0,7.0,2451.0,4.0,219.0,12.8,0.64,0.688,0.669,0.483,7.0,58.0,67.0,813.0,0.1,47.2,62.9,55.1,46.3,47.2,45.4,0.40399999999999997,0.688,1170.0,7.35,7.1,7.5,17.9,0.0,387.0,112.3,425.0,187.4,-0.2,-0.2,-0.2,-0.2,-0.2,0.4,5.3,62.9,7.0,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,46.1,36.5,-0.2,47.9,46.35,49.2,65.6,3.4,122.4,21.1,34.8,12.8,-3.5,96.3,43.0,12.8,3.0,86.2,20.7,1.06,49.0,3.3,9.4,20.4,1.05,219.0,4.4,9.9,82.4,79.2,81.4,1.14
 Norway,17.1,12.8,5.6,0.15,8.8,0.16,1.02,7.7,67.0,0.888,4.3,73.9,64.6,44872.0,69832.0,17.5,18.2,16.8,74.6,4.9,33.2,33.2,54.3,0.99,0.10800000000000001,6.5,21.7,58045.0,260.7,76.0,101.0,116.0,69.0,19.8,57238.0,0.4,5.6,1.1,0.91,0.919,0.917,0.9590000000000001,21.7,1.0,12.0,3104.0,52.0,61.3,72.9,67.0,78.8,81.4,76.1,0.905,0.919,7.0,12.0,12.0,12.1,36.9,71.7,61.0,4.0,107.0,4.9,2.7,2.7,2.7,2.7,2.7,2.45,23.6,72.9,21.7,2.7,2.7,2.7,2.7,2.7,2.7,100.0,98.1,2.7,77.7,74.9,87.4,2.9,0.7,4.5,0.3,76.0,1.1,10.4,99.0,25.0,1.1,0.16,60.2,100.0,1.06,47.6,36.4,5.8,18.8,0.92,5.6,3.5,10.9,5.8,37.6,30.9,1.02
 Oman,-7.4,43.5,16.0,0.22,9.7,0.2,1.31,3.1,37.6,0.475,6.4,82.4,44.2,13486.0,66549.0,10.7,10.5,10.9,79.6,0.4,0.0,0.0,100.0,0.8690000000000001,0.47400000000000003,3.2,15.4,43966.0,99.7,45.0,92.0,78.0,22.0,15.5,43276.0,0.4,16.0,4.9,0.64,0.736,0.7040000000000001,0.917,15.4,1.0,1.0,571.0,3.5,23.5,77.0,55.1,72.1,74.5,70.4,0.802,0.736,20.0,5.3,4.5,5.9,20.9,7.1,103.0,14.3,158.0,16.6,-17.3,-17.3,-17.3,-17.3,-17.3,0.4,4.0,77.0,15.4,-17.3,-17.3,-17.3,-17.3,-17.3,-17.3,88.6,88.1,-17.3,47.9,25.1,35.8,1.4,0.1,2.3,0.3,71.6,4.9,-0.2,94.7,25.0,4.9,0.2,0.0,87.9,1.05,12.9,10.4,2.0,8.0,2.74,16.0,19.8,48.9,10.4,0.6,61.4,1.31
 Pakistan,7.8,59.8,275.0,0.22,0.8,1.45,1.2,3.1,41.6,0.259,48.4,33.6,47.4,646.0,6082.0,5.4,4.8,7.0,28.1,0.4,2.7,2.7,59.4,0.62,0.47400000000000003,1.8,17.2,3495.0,484.1,66.0,74.0,78.0,22.0,15.9,3451.0,0.1,275.0,6.4,0.318,0.513,0.45,0.535,17.2,31.0,43.0,557.0,2.0,16.1,83.7,51.0,62.7,63.6,62.0,0.657,0.513,306.0,3.3,1.4,3.7,19.2,0.2,174.0,88.1,202.0,112.8,-1.1,-1.1,-1.1,-1.1,-1.1,1.0,7.5,83.7,17.2,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,88.9,31.6,-1.1,23.5,12.8,24.0,75.9,5.7,138.5,20.2,33.0,6.4,-0.4,22.9,33.0,6.4,1.45,51.0,65.1,1.08,7.2,10.4,2.8,4.1,2.86,275.0,7.2,13.4,63.6,62.9,75.0,1.2
 Panama,20.4,94.0,48.0,0.18,1.9,0.13,1.18,7.5,89.0,0.627,17.0,65.7,54.4,7230.0,13175.0,12.4,12.9,11.8,134.0,6.7,65.5,65.5,70.2,0.977,0.507,4.8,36.5,10625.0,32.2,43.0,106.0,65.0,41.0,26.1,10226.0,0.7,48.0,9.9,0.7,0.716,0.7190000000000001,0.6990000000000001,36.5,1.0,3.0,484.0,6.6,44.9,81.0,62.9,75.1,77.7,72.6,0.847,0.716,82.0,8.5,8.0,7.8,24.5,13.5,90.0,21.9,160.0,26.0,0.7,0.7,0.7,0.7,0.7,0.1,8.8,81.0,36.5,0.7,0.7,0.7,0.7,0.7,0.7,88.2,64.1,0.7,54.4,48.9,45.6,1.9,0.2,3.0,0.3,62.2,9.9,-5.8,90.5,25.0,9.9,0.13,34.4,52.2,1.05,40.0,9.9,1.6,12.6,1.55,48.0,13.5,31.9,30.5,16.5,51.2,1.18
 Papua New Guinea,10.5,71.6,432.0,0.17,0.5,0.2,0.84,3.0,28.2,0.284,73.3,23.0,69.9,2276.0,3100.0,6.3,5.9,7.1,115.4,2.7,74.2,74.2,75.9,0.862,0.6659999999999999,4.1,21.9,2745.0,15.3,45.0,69.0,78.0,22.0,20.4,2694.0,0.7,432.0,8.3,0.418,0.485,0.449,0.498,21.9,16.0,31.0,58.0,0.8,70.5,73.4,72.0,61.8,64.4,59.5,0.644,0.485,342.0,3.3,2.3,4.3,19.8,0.2,238.0,57.5,310.0,77.2,-0.1,-0.1,-0.1,-0.1,-0.1,8.3,5.5,73.4,21.9,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,36.7,18.7,-0.1,12.4,7.7,16.9,3.2,0.2,5.6,0.8,13.2,8.3,0.8,41.0,35.0,8.3,0.2,66.4,4.4,1.08,53.2,1.8,6.6,19.9,0.49,432.0,2.9,5.2,70.1,83.7,69.5,0.84
 Paraguay,5.3,91.9,42.0,0.11,0.7,1.85,1.25,5.8,27.0,0.524,31.9,51.2,64.5,3183.0,7392.0,11.8,11.8,11.8,85.1,1.3,48.7,48.7,28.2,0.922,0.55,4.6,15.8,6085.0,32.3,32.0,120.0,62.0,16.0,14.7,5313.0,0.3,42.0,18.8,0.602,0.653,0.624,0.6,15.8,5.0,8.0,289.0,0.7,54.1,85.3,69.8,70.1,72.3,67.9,0.77,0.653,158.0,5.9,6.5,6.7,20.5,15.5,146.0,27.7,193.0,33.6,-1.7,-1.7,-1.7,-1.7,-1.7,1.2,7.7,85.3,15.8,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,75.0,71.9,-1.7,27.3,25.2,24.6,3.0,0.2,5.3,0.7,55.3,18.8,-1.2,96.3,25.0,18.8,1.85,70.4,78.4,1.05,43.9,8.0,6.6,16.3,1.56,42.0,7.6,16.2,47.6,12.4,66.7,1.25
 Peru,8.4,70.5,186.0,0.18,1.2,1.39,1.02,4.4,26.8,0.636,35.3,50.6,63.7,4126.0,8797.0,13.4,13.4,13.4,35.5,1.6,59.5,59.5,69.9,0.9209999999999999,0.47400000000000003,3.2,19.6,6563.0,170.1,59.0,121.0,85.0,35.0,19.7,6460.0,0.5,186.0,4.9,0.65,0.706,0.6779999999999999,0.63,19.6,1.0,3.0,800.0,3.1,55.0,80.5,67.6,70.5,73.2,68.0,0.777,0.706,140.0,8.0,7.6,8.9,22.8,4.9,121.0,29.5,186.0,38.5,-4.3,-4.3,-4.3,-4.3,-4.3,0.8,8.0,80.5,19.6,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,80.5,62.6,-4.3,53.8,50.7,62.5,15.7,1.3,25.9,3.0,73.0,4.9,-0.8,59.3,29.0,4.9,1.39,32.2,28.9,1.05,42.5,10.4,3.8,10.7,1.19,186.0,5.8,12.0,53.9,31.2,56.5,1.02
 Philippines,27.9,49.1,590.0,0.22,0.9,8.54,1.23,3.2,58.3,0.568,37.1,46.7,60.1,3632.0,6293.0,11.4,11.6,11.2,104.7,1.8,23.6,23.6,53.1,0.97,0.47700000000000004,3.3,18.4,4224.0,329.4,25.0,109.0,78.0,22.0,22.1,4972.0,0.1,590.0,7.4,0.613,0.632,0.624,0.59,18.4,8.0,22.0,1992.0,2.0,47.1,77.8,62.4,67.2,70.3,64.2,0.726,0.632,124.0,7.6,7.6,7.5,20.5,8.3,159.0,30.0,271.0,39.7,-2.1,-2.1,-2.1,-2.1,-2.1,0.6,5.6,77.8,18.4,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,86.1,67.0,-2.1,49.1,49.0,49.3,45.4,2.5,78.0,10.7,46.1,7.4,-1.9,58.0,35.0,7.4,8.54,34.8,58.5,1.06,45.6,11.8,1.8,4.7,1.2,590.0,3.7,9.5,46.3,39.4,66.1,1.23
 Poland,6.4,19.0,33.0,0.53,7.8,0.87,1.04,5.3,34.5,0.777,18.7,50.3,47.1,11072.0,18434.0,14.7,15.1,14.3,60.8,5.4,29.6,29.6,96.2,0.988,0.205,5.0,24.6,14732.0,563.6,47.0,99.0,100.0,50.0,23.7,14646.0,0.4,33.0,2.2,0.772,0.7809999999999999,0.785,0.753,24.6,1.0,3.0,17400.0,7.3,49.6,63.6,56.3,73.7,77.9,69.5,0.826,0.7809999999999999,8.0,11.1,10.2,10.8,35.0,17.5,87.0,8.1,219.0,9.3,-0.4,-0.4,-0.4,-0.4,-0.4,2.45,17.6,63.6,24.6,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,88.6,87.0,-0.4,74.2,64.9,73.6,26.4,4.6,38.6,2.1,61.7,2.2,-7.4,99.4,25.0,2.2,0.87,6.9,100.0,1.06,45.0,12.7,5.5,32.6,1.24,33.0,16.3,35.1,23.6,37.6,28.6,1.04
 Portugal,6.4,20.4,47.0,0.23,6.1,0.22,1.52,8.4,34.5,0.6609999999999999,12.7,52.5,58.4,18912.0,32585.0,15.6,16.0,15.3,67.4,6.2,36.5,36.5,84.0,0.982,0.209,5.2,28.8,25999.0,267.5,72.0,122.0,104.0,48.0,28.0,25510.0,0.4,47.0,1.1,0.777,0.7909999999999999,0.785,0.8370000000000001,28.8,1.0,13.0,5599.0,16.4,52.6,69.6,60.7,76.7,80.3,73.2,0.873,0.7909999999999999,13.0,6.8,6.6,7.0,37.9,64.4,66.0,5.5,154.0,7.2,3.4,3.4,3.4,3.4,3.4,2.45,24.1,69.6,28.8,3.4,3.4,3.4,3.4,3.4,3.4,98.5,97.3,3.4,29.8,23.9,26.5,7.0,1.7,10.4,0.5,54.4,1.1,2.1,99.7,13.0,1.1,0.22,20.1,100.0,1.06,44.1,17.4,2.1,9.1,1.52,47.0,3.8,8.2,19.9,37.6,23.7,1.52
 Qatar,6.8,22.8,54.0,0.54,58.6,0.87,3.4,2.0,40.1,0.613,2.6,61.4,73.2,49539.0,140148.0,12.6,13.8,12.0,89.6,1.4,0.0,0.0,100.0,1.021,0.47400000000000003,3.7,20.2,108324.0,64.2,28.0,105.0,91.0,22.0,20.4,108644.0,0.1,54.0,0.2,0.812,0.7959999999999999,0.81,1.0,20.2,8.0,9.0,378.0,4.9,40.9,92.6,77.0,76.3,77.7,75.4,0.866,0.7959999999999999,24.0,7.9,8.7,7.0,30.5,20.4,65.0,10.8,77.0,12.5,10.7,10.7,10.7,10.7,10.7,2.45,2.3,92.6,20.2,10.7,10.7,10.7,10.7,10.7,10.7,100.0,81.9,10.7,48.5,54.5,46.7,0.4,0.0,0.6,0.1,96.3,0.2,-2.05,100.0,25.0,0.2,0.87,0.0,100.0,1.05,13.4,10.4,1.2,4.9,14.13,54.0,4.9,24.5,0.6,0.0,35.4,3.4
