,"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Coefficient of Human Inequality,Concentration index (exports) (value),Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Gender Development Index (GDI),Gender Inequality Index (GII),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),Homeless people due to natural disaster (average annual per million people),"Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted education index,Inequality-adjusted HDI (IHDI),Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, infant (per 1,000 live births)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),Overall loss in HDI due to inequality (%),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)",Private capital flows (% of GDP),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Mexico,63.1,21.0,2.24,1.1,22.4,0.122,5.9,52.6,0.6659999999999999,13.5,61.4,58.7,10798.0,22390.0,13.7,13.9,13.4,71.2,3.1,34.0,34.0,0.9520000000000001,0.348,23.3,16939.0,2132.4,22.5,16569.0,21.0,0.7440000000000001,0.782,0.767,0.772,22.4,22.4,22.4,23.3,19.7,34.3,13.2,0.535,0.591,0.507,0.76,1.0,3.0,32093.0,57.4,43.9,79.3,61.4,76.9,79.4,74.5,0.8759999999999999,0.782,38.0,8.6,8.4,8.8,27.5,85.5,12.9,15.0,-0.5,-0.5,-0.5,-0.5,-0.5,9.8,79.3,22.9,23.3,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,98.3,89.2,-0.5,57.4,56.1,59.0,83.1,8.2,125.9,11.5,79.3,-4.2,2.24,9.2,98.0,1.05,40.4,40.6,1.07,21.0,4.3,8.6,27.7,41.6,1.1
 Moldova (Republic of),23.8,102.0,23.65,1.16,10.1,0.168,10.2,37.0,0.7090000000000001,34.2,48.0,42.5,4475.0,5744.0,11.6,11.9,11.4,116.7,3.3,12.4,12.4,1.006,0.23399999999999999,22.7,4747.0,16.9,24.1,5084.0,102.0,0.695,0.691,0.693,0.593,10.1,10.1,10.1,22.7,7.3,14.0,9.0,0.657,0.623,0.51,0.72,12.0,11.0,94.0,69.0,41.3,47.3,44.1,71.5,75.8,67.2,0.792,0.691,23.0,11.6,11.5,11.7,35.6,91.3,13.9,16.2,-0.5,-0.5,-0.5,-0.5,-0.5,13.4,47.3,10.2,22.7,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,86.7,78.4,-0.5,96.2,95.2,97.3,3.0,0.4,4.1,0.2,42.5,-3.3,23.65,14.3,100.0,1.06,52.9,21.8,0.66,102.0,3.7,10.7,27.6,21.2,1.16
 Mongolia,25.1,197.0,2.22,1.08,12.9,0.49700000000000005,3.9,69.3,0.754,28.5,51.3,57.4,8836.0,12218.0,15.0,15.6,14.4,90.3,0.8,8.1,8.1,1.026,0.316,26.4,11412.0,34.0,20.4,10511.0,197.0,0.747,0.728,0.737,0.703,12.9,12.9,12.9,26.4,9.4,12.3,17.1,0.6829999999999999,0.6409999999999999,0.616,0.626,1.0,2.0,386.0,21.4,53.7,67.2,60.3,69.1,73.3,65.1,0.755,0.728,44.0,10.1,10.6,9.8,27.1,103.1,16.1,18.8,-1.1,-1.1,-1.1,-1.1,-1.1,5.8,67.2,13.0,26.4,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,83.2,59.2,-1.1,87.8,89.7,85.8,2.0,0.1,3.0,0.4,68.2,-2.8,2.22,3.4,43.1,1.03,46.5,14.5,0.81,197.0,4.9,12.6,49.5,42.7,1.08
 Montenegro,12.6,15.0,9.4,0.95,8.7,0.223,6.0,59.0,0.79,7.8,74.7,40.3,12078.0,19425.0,14.9,15.2,14.7,102.7,17.3,61.5,61.5,0.956,0.156,20.1,15290.0,9.5,20.1,15702.0,15.0,0.789,0.826,0.809,0.764,8.7,8.7,8.7,20.1,7.4,13.6,5.2,0.732,0.738,0.66,0.83,4.0,36.0,1560.0,68.1,42.5,55.7,48.9,76.9,79.3,74.5,0.8759999999999999,0.826,7.0,11.3,10.7,12.0,37.7,160.4,3.8,4.1,-1.0,-1.0,-1.0,-1.0,-1.0,20.5,55.7,8.8,20.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97.6,95.9,-1.0,89.2,86.9,96.2,0.4,0.1,0.6,0.0,65.8,-20.2,9.4,43.0,100.0,1.07,44.5,17.3,0.9,15.0,17.5,39.0,11.9,27.3,0.95
 Morocco,32.6,101.0,6.86,0.99,28.3,0.166,5.5,107.1,0.51,38.6,42.3,44.3,3121.0,11273.0,12.3,11.9,12.7,76.4,3.2,12.6,12.6,0.826,0.49700000000000005,30.2,7297.0,257.8,28.7,7154.0,101.0,0.584,0.708,0.655,0.645,28.3,28.3,28.3,30.2,45.8,23.0,16.0,0.276,0.462,0.49700000000000005,0.718,1.0,1.0,10177.0,57.1,25.0,74.3,49.1,75.6,76.7,74.4,0.855,0.708,121.0,5.0,3.9,6.4,27.9,123.8,24.1,28.0,-1.8,-1.8,-1.8,-1.8,-1.8,9.7,74.3,29.5,30.2,-1.8,-1.8,-1.8,-1.8,-1.8,-1.8,83.0,83.5,-1.8,29.4,25.7,33.2,23.0,2.2,34.8,3.5,60.8,-3.9,6.86,11.3,99.6,1.06,17.7,15.7,1.11,101.0,9.7,20.7,51.3,41.9,0.99
 Mozambique,144.5,551.0,0.97,0.98,32.9,0.311,5.4,43.2,0.385,73.6,22.2,59.0,1055.0,1134.0,9.7,9.2,10.2,104.2,26.1,48.2,48.2,0.904,0.56,45.3,1118.0,31.3,32.0,1094.0,551.0,0.41,0.45399999999999996,0.43200000000000005,0.361,32.9,32.9,32.9,45.3,33.8,28.4,36.4,0.255,0.29,0.259,0.369,10.0,15.0,1552.0,16.9,82.8,74.8,79.0,57.7,59.8,55.5,0.58,0.45399999999999996,489.0,3.5,2.5,4.6,17.2,71.9,55.1,75.1,-0.2,-0.2,-0.2,-0.2,-0.2,6.1,74.8,33.0,45.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,47.3,23.6,-0.2,16.8,13.0,24.8,14.5,0.9,28.0,4.8,34.4,-25.8,0.97,86.4,5.0,1.03,30.5,39.6,1.17,551.0,25.3,43.2,85.1,87.5,0.98
 Myanmar,29.6,365.0,3.36,1.07,20.2,0.39,4.9,33.3,0.436,51.8,31.5,65.1,3500.0,6652.0,9.9,13.75,13.149999999999999,47.4,6.8,44.5,44.5,0.962,0.442,34.9,5057.0,265.0,34.7,5039.0,365.0,0.726,0.7505,0.569,0.5920000000000001,20.2,20.2,20.2,34.9,19.4,21.299999999999997,26.0,0.35100000000000003,0.5645,0.508,0.529,6.0,16.0,4681.0,21.7,51.8,80.5,65.7,66.5,68.8,64.1,0.715,0.7505,178.0,4.9,4.9,4.7,27.7,78.2,41.4,52.7,-1.9,-1.9,-1.9,-1.9,-1.9,8.0,80.5,20.65,34.9,-1.9,-1.9,-1.9,-1.9,-1.9,-1.9,67.5,64.7,-1.9,23.8,27.1,20.0,35.0,2.8,52.4,4.6,29.9,-6.8,3.36,61.5,48.9,1.03,42.0,13.0,1.29,365.0,0.8,1.6,57.6,41.7,1.07
 Namibia,76.8,495.0,0.4,1.12,33.4,0.294,8.9,68.0,0.565,24.3,58.5,49.1,9018.0,10893.0,12.3,12.4,12.2,107.1,9.9,8.4,8.4,1.003,0.473,33.8,9975.0,24.2,33.3,9929.0,495.0,0.643,0.6409999999999999,0.642,0.695,33.4,33.4,33.4,33.8,25.0,53.6,21.7,0.424,0.41600000000000004,0.322,0.527,2.0,15.0,1388.0,25.7,57.8,64.6,61.0,63.8,66.6,60.8,0.674,0.6409999999999999,265.0,6.7,6.9,6.5,21.0,105.1,34.5,48.0,-0.1,-0.1,-0.1,-0.1,-0.1,5.8,64.6,35.2,33.8,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,78.8,33.8,-0.1,38.5,38.1,39.0,1.4,0.1,2.4,0.3,46.9,-18.5,0.4,26.5,27.9,1.03,48.9,37.7,1.19,495.0,19.6,40.1,25.6,62.2,1.12
 Nepal,64.5,156.0,31.43,0.75,25.8,0.138,6.1,75.0,0.495,72.3,19.8,81.5,2107.0,2614.0,12.2,12.6,11.8,53.1,0.2,25.4,25.4,0.9209999999999999,0.488,39.1,2314.0,66.3,28.0,2353.0,156.0,0.544,0.591,0.5660000000000001,0.47700000000000004,25.8,25.8,25.8,39.1,43.9,13.9,19.6,0.278,0.413,0.41100000000000003,0.617,6.0,15.0,539.0,17.6,82.3,86.2,84.1,69.9,71.5,68.3,0.768,0.591,258.0,4.7,3.4,6.2,23.2,96.0,29.6,36.1,-2.7,-2.7,-2.7,-2.7,-2.7,8.8,86.2,27.1,39.1,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,87.7,46.1,-2.7,32.0,24.1,41.2,17.8,1.6,28.7,2.8,18.6,-2.4,31.43,85.3,84.9,1.07,31.3,29.5,0.72,156.0,3.1,5.1,79.0,52.5,0.75
 Netherlands,4.2,5.8,0.17,1.0,6.8,0.081,10.7,206.4,0.903,2.3,81.3,59.7,37247.0,55335.0,18.1,18.4,17.8,156.3,19.4,11.2,11.2,0.966,0.045,19.9,46494.0,787.6,19.4,46239.0,5.8,0.909,0.941,0.9259999999999999,0.927,6.8,6.8,6.8,19.9,4.2,12.4,3.7,0.865,0.863,0.812,0.914,2.0,5.0,15007.0,91.7,58.2,70.1,64.1,81.7,83.5,79.9,0.9490000000000001,0.941,7.0,12.1,11.8,12.5,42.1,122.9,3.3,3.9,0.7,0.7,0.7,0.7,0.7,27.4,70.1,6.9,19.9,0.7,0.7,0.7,0.7,0.7,0.7,100.0,97.7,0.7,88.2,86.2,90.3,11.1,3.0,16.9,0.9,90.2,4.0,0.17,5.9,100.0,1.06,46.2,36.4,1.12,5.8,6.9,11.3,13.1,25.6,1.0
 New Zealand,21.5,7.3,0.24,0.99,20.2,0.16699999999999998,9.3,58.65,0.914,6.1,71.9,64.7,25412.0,42152.0,18.9,19.7,18.0,54.4,-0.0,38.6,38.6,0.9640000000000001,0.152,23.4,35310.0,162.3,23.1,33643.0,7.3,0.897,0.93,0.914,0.879,20.2,20.2,20.2,23.4,17.45,21.299999999999997,4.6,0.5475,0.5645,0.508,0.9059999999999999,7.0,7.0,3039.0,88.2,62.8,74.1,68.3,81.7,83.4,80.0,0.95,0.93,11.0,12.4,12.6,12.5,37.3,121.4,4.6,5.6,4.0,4.0,4.0,4.0,4.0,22.4,74.1,20.65,23.4,4.0,4.0,4.0,4.0,4.0,4.0,100.0,100.0,4.0,98.9,98.8,98.7,3.0,0.7,4.6,0.3,86.3,-1.3,0.24,30.8,100.0,1.06,48.1,31.4,1.2,7.3,5.4,13.7,11.3,30.5,0.99
 Nicaragua,89.1,51.0,9.5,1.31,25.4,0.22699999999999998,7.8,48.4,0.5529999999999999,30.7,51.3,63.3,2921.0,7158.0,12.1,12.3,11.8,99.5,7.5,25.9,25.9,0.946,0.465,32.7,4957.0,30.1,31.1,5010.0,51.0,0.629,0.664,0.652,0.591,25.4,25.4,25.4,32.7,29.5,32.1,14.6,0.39,0.484,0.402,0.7240000000000001,1.0,1.0,1386.0,19.7,49.5,84.1,66.2,75.1,78.1,72.1,0.848,0.664,150.0,6.5,6.8,6.4,25.2,119.4,17.3,20.3,-4.6,-4.6,-4.6,-4.6,-4.6,7.8,84.1,25.8,32.7,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,82.3,76.3,-4.6,45.0,45.7,44.1,3.9,0.3,6.1,0.6,57.9,-7.1,9.5,48.2,56.0,1.05,50.0,41.3,1.41,51.0,4.5,8.5,39.9,46.3,1.31
 Niger,197.0,95.0,2.37,0.71,27.5,0.392,7.2,16.4,0.20800000000000002,76.1,16.5,78.7,679.0,1099.0,5.3,4.7,5.9,58.8,7.3,0.9,0.9,0.807,0.6659999999999999,40.0,908.0,18.1,40.0,889.0,95.0,0.31,0.384,0.34700000000000003,0.33,27.5,27.5,27.5,40.0,35.0,12.3,35.3,0.135,0.249,0.29,0.395,11.0,25.0,135.0,2.5,67.6,90.8,79.0,59.7,60.7,58.7,0.61,0.384,553.0,1.8,1.3,2.5,14.9,45.0,52.3,95.0,-0.3,-0.3,-0.3,-0.3,-0.3,5.4,90.8,28.2,40.0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,45.8,12.9,-0.3,6.1,3.6,8.4,9.4,0.5,19.9,4.1,16.2,-8.7,2.37,78.9,7.1,1.05,50.5,13.3,0.5,95.0,0.3,0.5,88.7,106.2,0.71
 Nigeria,112.2,219.0,4.4,1.13,37.5,0.731,3.6,23.1,0.47700000000000004,36.4,51.8,52.7,4681.0,6352.0,10.0,9.2,10.8,21.3,0.7,7.7,7.7,0.867,0.3745,15.5,5671.0,1027.4,14.8,5527.0,219.0,0.489,0.564,0.527,0.606,37.5,37.5,37.5,15.5,43.3,28.4,40.8,0.27,0.32799999999999996,0.434,0.3,51.0,58.0,1255.0,24.5,50.4,59.8,55.1,53.0,53.8,52.2,0.507,0.564,814.0,6.0,4.9,7.1,17.9,83.2,69.0,108.0,-0.4,-0.4,-0.4,-0.4,-0.4,5.1,59.8,37.8,15.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,67.3,32.6,-0.4,62.6,63.85,65.65,96.3,5.0,181.2,31.1,47.8,-0.5,4.4,86.6,32.8,1.06,52.9,5.8,0.83,219.0,4.3,8.1,80.3,83.0,1.13
 Norway,5.8,6.3,0.16,0.89,5.4,0.33399999999999996,10.0,144.8,0.9079999999999999,2.0,77.9,62.1,59206.0,74742.0,17.7,18.3,17.1,69.8,1.8,33.2,33.2,0.992,0.052000000000000005,27.6,64008.0,332.2,23.8,67028.0,6.3,0.943,0.95,0.948,0.983,5.4,5.4,5.4,27.6,2.4,10.4,3.3,0.8859999999999999,0.897,0.8809999999999999,0.9229999999999999,1.0,5.0,5361.0,96.8,61.3,68.4,64.9,82.0,84.0,80.1,0.9540000000000001,0.95,5.0,12.5,12.6,12.5,39.2,109.9,2.2,2.7,8.8,8.8,8.8,8.8,8.8,24.8,68.4,5.4,27.6,8.8,8.8,8.8,8.8,8.8,8.8,100.0,98.1,8.8,95.3,96.1,94.6,3.4,0.8,5.2,0.3,81.1,12.6,0.16,57.8,100.0,1.05,47.8,39.6,0.87,6.3,4.3,9.9,5.3,27.3,0.89
 Oman,8.9,9.0,0.06,1.23,20.2,0.53,3.8,65.5,0.706,6.0,55.1,58.6,12427.0,53378.0,13.9,14.7,13.4,94.9,-3.2,0.0,0.0,0.945,0.28,36.4,39873.0,167.5,34.3,38980.0,9.0,0.784,0.83,0.8220000000000001,0.9009999999999999,20.2,20.2,20.2,36.4,17.45,21.299999999999997,7.0,0.5475,0.5645,0.508,0.813,1.0,1.0,1909.0,66.1,30.4,87.4,69.6,76.8,79.3,75.1,0.8740000000000001,0.83,17.0,9.5,10.4,9.2,29.0,158.3,9.3,10.9,45.2,45.2,45.2,45.2,45.2,3.1,87.4,20.65,36.4,45.2,45.2,45.2,45.2,45.2,45.2,90.9,99.3,45.2,58.8,69.7,57.1,3.2,0.1,4.2,0.4,81.4,2.4,0.06,0.0,100.0,1.05,11.7,8.2,2.41,9.0,15.8,47.0,9.1,29.4,1.23
 Pakistan,38.9,270.0,7.14,1.15,29.6,0.20199999999999999,2.7,48.8,0.39799999999999996,41.0,35.0,51.3,1530.0,8243.0,8.2,7.4,8.9,27.7,0.6,1.9,1.9,0.743,0.547,15.7,4696.0,889.3,14.1,4978.0,270.0,0.45399999999999996,0.611,0.551,0.59,29.6,29.6,29.6,15.7,44.4,11.6,32.8,0.221,0.381,0.522,0.479,18.0,25.0,1915.5,14.0,23.9,81.2,53.2,66.3,67.3,65.4,0.713,0.611,178.0,5.1,3.7,6.5,22.5,66.5,65.7,81.0,-1.3,-1.3,-1.3,-1.3,-1.3,7.4,81.2,30.9,15.7,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,88.5,58.3,-1.3,37.3,26.5,47.3,114.6,8.5,189.4,24.7,36.0,-0.9,7.14,46.5,90.4,1.09,10.1,20.0,2.21,270.0,3.6,6.8,58.9,57.9,1.15
 Panama,84.3,52.0,1.02,1.27,21.0,0.149,7.0,80.1,0.6809999999999999,15.7,65.3,63.5,14058.0,22253.0,12.7,13.3,12.1,99.7,9.3,62.1,62.1,1.004,0.465,42.6,20787.0,82.5,39.3,18167.0,52.0,0.7809999999999999,0.778,0.7809999999999999,0.7859999999999999,21.0,21.0,21.0,42.6,13.6,38.0,11.5,0.589,0.609,0.48700000000000004,0.787,4.0,7.0,2110.0,51.2,51.8,81.3,66.5,77.8,80.9,74.9,0.889,0.778,94.0,9.9,10.3,9.5,28.4,175.0,14.5,16.9,1.5,1.5,1.5,1.5,1.5,11.7,81.3,22.0,42.6,1.5,1.5,1.5,1.5,1.5,1.5,95.0,76.9,1.5,70.5,72.0,67.7,2.6,0.3,4.0,0.4,66.7,-7.7,1.02,21.2,79.3,1.05,41.7,18.3,1.64,52.0,4.5,12.6,32.4,43.1,1.27
 Paraguay,58.0,41.0,2.03,1.06,23.5,0.317,7.8,49.0,0.637,19.7,60.6,66.4,6375.0,9956.0,12.7,13.2,12.2,83.8,1.9,38.6,38.6,0.975,0.466,16.8,8639.0,57.4,16.4,8192.0,41.0,0.6920000000000001,0.7090000000000001,0.7020000000000001,0.6659999999999999,23.5,23.5,23.5,16.8,14.0,38.3,18.3,0.5479999999999999,0.531,0.41,0.667,4.0,22.0,1215.0,48.4,55.9,82.9,69.6,73.0,75.2,70.9,0.816,0.7090000000000001,132.0,8.5,8.5,8.5,24.9,111.6,17.6,20.6,-2.7,-2.7,-2.7,-2.7,-2.7,9.4,82.9,24.3,16.8,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,98.9,91.2,-2.7,46.6,46.2,47.0,4.2,0.4,6.6,0.7,60.8,-2.1,2.03,61.7,98.6,1.05,42.3,16.8,1.16,41.0,4.6,11.0,38.7,47.2,1.06
 Peru,49.8,119.0,1.44,0.96,21.4,0.247,5.3,58.65,0.6859999999999999,28.3,55.2,73.8,7969.0,14878.0,13.8,13.8,13.6,45.1,4.4,57.8,57.8,0.945,0.385,24.2,11770.0,369.3,23.1,11420.0,119.0,0.721,0.763,0.745,0.716,21.4,21.4,21.4,24.2,20.3,29.5,14.2,0.547,0.584,0.504,0.722,3.0,8.0,3456.0,40.9,68.1,84.2,76.1,74.7,77.4,72.1,0.8420000000000001,0.763,68.0,9.1,8.6,9.7,27.5,109.1,12.4,16.0,-1.6,-1.6,-1.6,-1.6,-1.6,10.5,84.2,21.6,24.2,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,89.9,76.8,-1.6,61.5,56.2,67.0,20.5,2.1,31.4,3.0,77.4,-5.5,1.44,25.5,77.9,1.05,46.0,22.3,1.0,119.0,3.0,6.8,50.0,42.7,0.96
 Philippines,58.9,550.0,10.18,1.13,18.2,0.27899999999999997,4.4,59.0,0.6609999999999999,29.2,54.7,60.5,6658.0,9963.0,12.6,12.9,12.3,62.7,1.9,27.0,27.0,0.995,0.431,21.2,6875.0,699.3,22.0,8323.0,550.0,0.69,0.6940000000000001,0.693,0.6679999999999999,18.2,18.2,18.2,21.2,11.6,26.8,16.2,0.584,0.565,0.489,0.631,31.0,18.0,5361.0,53.7,49.4,75.4,62.4,69.0,72.5,65.7,0.753,0.6940000000000001,114.0,9.3,9.5,9.2,24.1,115.8,22.1,28.0,-1.3,-1.3,-1.3,-1.3,-1.3,7.2,75.4,18.4,21.2,-1.3,-1.3,-1.3,-1.3,-1.3,-1.3,90.5,75.0,-1.3,71.6,74.6,71.5,64.3,4.7,101.7,11.4,46.3,1.8,10.18,27.5,85.1,1.06,45.3,27.1,1.14,550.0,3.0,8.6,35.9,51.0,1.13
 Poland,13.5,19.0,1.42,1.0,9.3,0.065,6.3,73.2,0.853,11.5,57.9,52.4,19067.0,30144.0,16.1,17.0,15.4,95.9,3.2,30.8,30.8,1.006,0.138,20.5,25300.0,961.1,20.1,24418.0,19.0,0.858,0.852,0.855,0.83,9.3,9.3,9.3,20.5,5.4,17.4,5.2,0.807,0.774,0.6859999999999999,0.838,1.0,4.0,16728.0,68.0,49.0,65.1,56.7,77.4,81.3,73.5,0.884,0.852,3.0,12.1,12.2,12.2,39.7,142.5,4.2,4.9,-0.4,-0.4,-0.4,-0.4,-0.4,22.5,65.1,9.5,20.5,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,97.9,98.1,-0.4,83.9,81.1,86.9,26.6,6.0,38.3,1.9,60.3,-1.5,1.42,11.9,100.0,1.06,45.6,24.8,1.05,19.0,7.5,20.7,17.3,21.4,1.0
 Portugal,10.7,23.0,0.18,1.08,10.1,0.078,9.0,166.6,0.757,7.5,68.1,51.3,21846.0,30317.0,16.4,16.3,16.5,80.2,1.3,34.7,34.7,0.9840000000000001,0.095,15.8,26608.0,275.6,15.5,25860.0,23.0,0.8340000000000001,0.848,0.8420000000000001,0.8390000000000001,10.1,10.1,10.1,15.8,5.9,20.4,3.9,0.7120000000000001,0.754,0.6679999999999999,0.902,1.0,2.0,9957.0,68.6,53.8,64.2,58.6,81.0,83.9,78.0,0.9390000000000001,0.848,10.0,9.1,9.1,9.0,43.9,112.4,2.9,3.5,-2.7,-2.7,-2.7,-2.7,-2.7,31.8,64.2,10.4,15.8,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,99.9,99.4,-2.7,51.4,50.8,52.2,6.8,2.2,10.4,0.4,63.5,-0.7,0.18,27.2,100.0,1.06,49.8,34.8,1.06,23.0,12.4,32.1,13.6,21.6,1.08
 Qatar,10.6,25.0,0.27,2.5,20.2,0.519,3.1,121.9,0.698,1.2,44.6,87.4,58159.0,137382.0,13.4,14.8,12.0,92.1,0.7,0.0,0.0,1.03,0.536,38.2,119749.0,297.2,22.9,117896.0,25.0,0.867,0.8420000000000001,0.8540000000000001,1.0,20.2,20.2,20.2,38.2,17.45,21.299999999999997,6.1,0.5475,0.5645,0.508,0.8390000000000001,1.0,1.0,2941.0,92.9,58.9,95.1,87.6,78.0,79.7,77.3,0.893,0.8420000000000001,13.0,9.8,10.8,9.5,31.3,150.7,7.4,8.6,56.5,56.5,56.5,56.5,56.5,1.3,95.1,20.65,38.2,56.5,56.5,56.5,56.5,56.5,56.5,100.0,100.0,56.5,68.4,70.9,67.9,2.1,0.0,2.5,0.1,98.9,11.8,0.27,0.0,100.0,1.05,14.0,0.1,8.0,25.0,0.2,0.5,0.2,16.3,2.5
 Romania,34.7,82.0,1.73,1.05,10.8,0.10300000000000001,5.0,37.5,0.767,25.6,46.0,50.6,16374.0,23957.0,14.5,14.9,14.2,82.6,2.4,29.8,29.8,0.986,0.342,25.2,20556.0,407.3,24.7,20049.0,82.0,0.799,0.8109999999999999,0.805,0.8009999999999999,10.8,10.8,10.8,25.2,4.6,19.5,8.4,0.732,0.716,0.645,0.779,4.0,14.0,9331.0,55.8,45.2,64.2,54.3,75.3,78.8,71.8,0.851,0.8109999999999999,31.0,10.9,10.5,11.3,41.3,116.3,7.8,9.2,-3.0,-3.0,-3.0,-3.0,-3.0,25.2,64.2,11.0,25.2,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,100.0,81.8,-3.0,89.1,86.1,92.2,13.4,3.4,19.9,1.0,53.9,-1.8,1.73,23.7,100.0,1.06,43.7,12.0,0.79,82.0,6.8,21.6,27.8,22.8,1.05
 Russian Federation,24.0,68.0,0.5,1.04,9.6,0.316,5.6,52.8,0.828,6.7,66.1,60.1,19231.0,29301.0,15.4,15.7,15.1,49.2,0.5,49.8,49.8,1.02,0.272,21.9,24517.0,3589.4,20.3,23909.0,68.0,0.82,0.804,0.813,0.8270000000000001,9.6,9.6,9.6,21.9,2.2,17.7,8.8,0.81,0.733,0.6809999999999999,0.7140000000000001,3.0,2.0,33729.0,73.4,56.8,71.9,63.7,70.9,76.5,65.3,0.7829999999999999,0.804,25.0,12.0,12.0,12.1,38.7,158.0,6.8,8.0,1.4,1.4,1.4,1.4,1.4,19.4,71.9,9.8,21.9,1.4,1.4,1.4,1.4,1.4,1.4,96.4,88.8,1.4,95.6,95.9,95.3,100.3,19.4,143.9,9.4,74.0,3.0,0.5,3.3,100.0,1.06,49.6,14.5,0.91,68.0,5.6,16.4,6.0,24.2,1.04
