,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Coefficient of Human Inequality,Concentration index (exports) (value),Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income inequality, Gini coefficient","Income inequality, Palma ratio","Income inequality, quintile ratio","Income quintile ratio, average annual change (%)",Inequality in education (%),Inequality in income (%),Inequality in life expectancy (%),Inequality-adjusted education index,Inequality-adjusted HDI (IHDI),Inequality-adjusted income index,Inequality-adjusted life expectancy index,"Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),Overall loss in HDI due to inequality (%),"Overall loss in HDI value due to inequality, average annual change (%)",Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Women with account at financial institution or with mobile money-service provider (% of female population ages 15 and older),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Peru,10.2,50.5,121.0,0.17,2.0,1.31,1.03,23.0,0.22699999999999998,5.1,,0.696,28.0,55.6,74.9,7970.0,14170.0,13.7,13.8,13.5,46.8,2.2,57.9,57.9,79.6,0.9490000000000001,0.387,24.6,11548.0,357.7,88.0,101.0,96.0,,24.5,11067.0,0.4,121.0,6.7,0.723,0.762,0.746,0.711,23.0,23.0,23.0,24.6,23.3,31.9,13.9,0.534,0.5710000000000001,0.484,0.722,2.0,11.0,3215.0,40.2,69.6,84.9,77.2,74.5,77.2,71.9,0.8390000000000001,0.762,70.0,9.4,8.9,9.9,102.9,96.0,12.9,155.0,16.6,10.2,84.9,23.4,24.6,61.5,56.2,67.0,20.2,2.1,31.0,3.0,77.2,6.7,-1.3,18.0,6.7,1.31,26.0,74.5,46.2,22.3,1.11,121.0,3.0,7.6,50.5,22.5,9.0,43.3,1.03
 Philippines,28.3,58.3,546.0,0.16,1.1,10.08,1.14,17.9,0.231,4.2,55.9,0.657,30.5,53.5,60.7,6357.0,9577.0,12.6,12.9,12.3,61.5,2.0,26.2,26.2,62.0,0.9940000000000001,0.43200000000000005,20.6,6586.0,659.3,,,,36.0,20.7,7980.0,0.1,546.0,9.7,0.687,0.691,0.6890000000000001,0.662,17.9,17.9,17.9,20.6,11.6,26.8,15.2,0.581,0.564,0.484,0.637,22.0,21.0,4833.0,49.6,49.6,76.3,62.9,68.8,72.3,65.6,0.7509999999999999,0.691,117.0,9.2,9.5,9.2,111.2,139.0,22.7,264.0,28.8,7.1,76.3,18.1,20.6,71.6,72.8,70.3,63.1,4.5,100.1,11.3,46.1,9.7,1.3,,9.7,10.08,28.6,82.8,45.3,27.2,1.06,546.0,3.6,9.6,39.3,37.9,24.4,51.6,1.14
 Poland,9.7,13.8,20.0,0.31,7.5,1.36,1.05,9.6,0.065,6.2,71.1,0.8220000000000001,11.5,58.0,51.7,18373.0,29015.0,16.0,16.8,15.2,93.7,3.6,30.7,30.7,90.1,1.0070000000000001,0.146,20.4,24347.0,925.5,80.0,99.0,106.0,68.0,19.7,23514.0,,20.0,0.7,0.853,0.847,0.8420000000000001,0.825,9.6,9.6,9.6,20.4,5.6,17.5,5.7,0.7759999999999999,0.76,0.68,0.831,1.0,3.0,16000.0,66.6,49.2,65.2,56.8,77.3,81.2,73.3,0.8809999999999999,0.847,3.0,11.3,12.1,12.2,148.6,64.0,4.3,163.0,5.0,21.6,65.2,9.8,20.4,83.9,81.1,86.9,26.8,5.8,38.3,2.0,60.4,0.7,-2.0,10.0,0.7,1.36,11.6,100.0,45.5,22.3,1.13,20.0,9.0,23.8,17.2,73.0,,21.3,1.05
 Portugal,1.5,11.4,24.0,0.17,4.3,0.19,1.02,10.0,0.079,9.0,173.7,0.755,8.7,67.5,50.6,21312.0,30291.0,16.4,16.4,16.5,80.0,5.7,34.9,34.9,72.7,0.9840000000000001,0.105,15.3,26024.0,270.7,91.0,108.0,116.0,65.0,15.0,25572.0,,24.0,0.9,0.8320000000000001,0.845,0.8390000000000001,0.8370000000000001,10.0,10.0,10.0,15.3,5.9,20.3,3.9,0.71,0.753,0.667,0.899,1.0,2.0,9092.0,64.6,53.8,64.4,58.8,80.8,83.8,77.7,0.9359999999999999,0.845,10.0,8.9,9.0,8.9,113.6,45.0,2.9,109.0,3.6,31.0,64.4,10.3,15.3,51.4,50.8,52.2,6.9,2.1,10.5,0.5,62.9,0.9,-2.6,13.0,0.9,0.19,30.5,100.0,49.7,31.3,1.06,24.0,13.9,34.8,14.5,86.1,,21.8,1.02
 Qatar,32.1,11.1,23.0,0.38,45.4,0.24,2.67,,0.527,2.4,81.9,0.698,1.3,45.5,86.6,56183.0,134958.0,13.4,14.8,12.0,99.0,0.5,0.0,0.0,100.0,1.028,0.539,31.8,120860.0,287.0,56.0,99.0,84.0,13.0,,115743.0,0.1,23.0,0.4,0.865,0.841,0.853,1.0,,,,31.8,,,6.0,,,,0.8370000000000001,1.0,1.0,2839.0,91.5,57.3,94.4,86.8,77.9,79.6,77.1,0.8909999999999999,0.841,13.0,9.8,10.8,9.5,139.2,47.0,7.4,67.0,8.6,1.2,94.4,,31.8,68.4,70.9,67.8,2.0,0.0,2.4,0.1,98.9,0.4,12.4,11.0,0.4,0.24,0.0,100.0,13.7,0.1,11.0,23.0,0.2,0.8,0.1,61.6,0.0,16.0,2.67
 Romania,6.2,35.3,86.0,0.18,3.5,1.7,1.02,10.2,0.099,5.0,37.9,0.765,28.4,42.7,51.0,16104.0,22974.0,14.5,14.9,14.2,82.8,1.9,29.5,29.5,72.8,0.987,0.34299999999999997,24.7,19678.0,391.8,90.0,,93.0,48.0,24.3,19434.0,0.1,86.0,1.5,0.797,0.807,0.802,0.7959999999999999,10.2,10.2,10.2,24.7,4.7,17.1,8.8,0.7290000000000001,0.7190000000000001,0.66,0.773,2.0,11.0,8442.0,54.1,46.2,63.9,54.7,75.1,78.6,71.6,0.848,0.807,31.0,10.9,10.5,11.3,114.8,81.0,8.1,188.0,9.5,24.5,63.9,10.4,24.7,89.1,86.1,92.2,13.6,3.3,20.0,1.0,53.9,1.5,-3.7,,1.5,1.7,24.3,100.0,43.7,11.7,0.82,86.0,6.8,23.9,30.9,56.9,,22.8,1.02
 Russian Federation,7.8,24.8,70.0,0.46,11.9,0.38,1.03,10.3,0.37,5.7,47.2,0.812,6.7,65.8,60.2,19720.0,29923.0,15.0,15.3,14.7,47.7,1.1,49.8,49.8,90.2,1.0190000000000001,0.287,22.2,25285.0,3693.8,84.0,99.0,101.0,79.0,21.2,24458.0,,70.0,11.3,0.815,0.8,0.807,0.831,10.3,10.3,10.3,22.2,2.3,18.7,9.8,0.794,0.722,0.675,0.703,3.0,2.0,32421.0,70.5,56.8,71.6,63.5,70.7,76.2,65.1,0.78,0.8,25.0,11.9,11.8,12.1,153.7,120.0,7.1,322.0,8.3,19.0,71.6,10.5,22.2,94.6,94.6,94.7,101.0,19.2,143.8,9.2,74.0,11.3,3.6,20.0,11.3,0.38,3.4,100.0,49.7,12.1,0.87,70.0,5.2,14.1,5.9,70.2,0.1,23.4,1.03
 Rwanda,-4.6,29.8,63.0,0.04,0.1,2.29,1.46,31.6,0.359,8.2,17.3,0.445,68.5,23.6,85.6,1374.0,1821.0,11.2,11.4,11.1,47.6,3.9,19.2,19.2,,0.9420000000000001,0.39799999999999996,25.3,1630.0,18.5,16.0,136.0,40.0,8.0,24.4,1593.0,3.2,63.0,3.8,0.494,0.525,0.509,0.418,31.6,31.6,31.6,25.3,29.4,35.2,30.2,0.314,0.348,0.271,0.496,1.0,3.0,926.0,10.6,86.2,87.0,86.6,66.2,68.2,64.1,0.711,0.525,304.0,4.0,3.5,4.6,68.3,182.0,32.2,236.0,43.4,4.9,87.0,31.6,25.3,13.2,10.5,16.4,6.4,0.3,11.3,1.7,17.0,3.8,-3.9,58.0,3.8,2.29,88.2,9.1,35.1,57.5,1.18,63.0,1.2,1.9,80.4,35.3,75.8,73.1,1.46
 Saint Lucia,-2.7,43.1,3.9,0.19,2.3,2.08,1.09,15.5,0.54,5.8,97.9,0.6609999999999999,14.8,68.3,52.4,8768.0,13792.0,13.4,13.5,13.1,,3.1,33.4,33.4,,0.987,0.35100000000000003,,12336.0,2.2,85.0,,88.0,17.0,,11230.0,,3.9,19.3,0.73,0.74,0.737,0.713,15.5,15.5,15.5,,9.2,27.4,9.9,0.6,0.619,0.518,0.764,1.0,1.0,338.0,36.6,60.2,75.8,67.8,75.1,77.9,72.5,0.848,0.74,49.0,8.7,9.0,8.4,106.8,109.0,12.4,167.0,14.0,13.1,75.8,15.9,,45.2,48.2,42.0,0.1,0.0,0.2,0.0,18.5,19.3,-0.6,14.0,19.3,2.08,2.1,96.9,46.0,17.2,1.26,3.9,22.7,46.1,28.8,,,28.9,1.09
 Sao Tome and Principe,,99.6,97.0,0.2,0.6,7.69,1.05,24.7,0.589,8.9,25.6,0.5,19.2,65.7,50.4,1764.0,4145.0,11.7,11.5,11.5,,7.6,55.8,55.8,,0.887,0.5429999999999999,,2903.0,0.6,40.0,107.0,74.0,10.0,,2949.0,,97.0,,0.526,0.594,0.5670000000000001,0.511,24.7,24.7,24.7,,21.4,25.8,26.9,0.39299999999999996,0.42700000000000005,0.379,0.521,2.0,8.0,,24.4,41.0,75.9,58.2,66.4,68.4,64.2,0.713,0.594,159.0,5.3,4.7,6.0,67.2,165.0,28.1,221.0,36.8,5.8,75.9,24.7,,37.7,30.8,44.8,0.1,0.0,0.2,0.0,69.2,,-4.5,33.0,,7.69,41.8,54.8,38.6,18.2,1.27,97.0,13.4,26.2,33.6,,,82.1,1.05
 Saudi Arabia,20.9,9.5,12.0,0.39,19.5,0.04,1.41,,0.706,5.1,1.8,0.787,5.3,71.7,51.7,18193.0,75825.0,16.9,16.0,17.8,80.6,1.1,0.5,0.5,100.0,0.878,0.257,28.8,49958.0,1537.6,18.0,118.0,117.0,58.0,25.2,50787.0,0.1,12.0,,0.782,0.89,0.852,0.941,,,,28.8,,,8.7,,,,0.762,1.0,2.0,18260.0,64.7,20.7,78.9,54.8,74.2,75.9,73.0,0.8340000000000001,0.89,12.0,9.5,8.8,9.9,171.3,80.0,11.9,99.0,13.8,4.2,78.9,,28.8,68.8,63.3,72.1,21.7,0.9,30.8,3.0,83.0,,3.2,11.0,,0.04,0.0,100.0,13.7,19.9,7.71,12.0,5.7,30.1,3.0,61.1,0.2,37.7,1.41
 Senegal,8.0,80.2,138.0,0.27,0.6,12.61,1.2,34.0,0.237,3.9,37.1,0.34700000000000003,53.7,26.1,53.3,1523.0,2829.0,9.1,9.3,8.9,75.4,2.6,43.2,43.2,53.7,0.8959999999999999,0.523,24.4,2219.0,32.3,15.0,84.0,50.0,10.0,25.6,2164.0,0.5,138.0,,0.45799999999999996,0.511,0.486,0.46399999999999997,34.0,34.0,34.0,24.4,44.7,27.7,29.5,0.192,0.319,0.336,0.503,6.0,20.0,963.0,17.7,44.9,69.9,56.9,66.4,68.2,64.4,0.713,0.511,323.0,2.8,2.2,3.6,98.9,160.0,36.2,227.0,52.3,5.6,69.9,34.4,24.4,14.6,10.2,19.2,7.8,0.4,14.5,2.4,45.4,,-4.5,32.0,,12.61,43.4,32.7,35.5,43.3,1.24,138.0,6.4,7.3,44.1,11.4,66.4,80.1,1.2
 Serbia,-3.8,20.3,24.0,0.4,5.3,8.36,1.03,10.0,0.106,9.8,52.4,0.7559999999999999,19.9,55.5,42.4,10212.0,15045.0,14.4,14.8,13.9,97.6,4.5,31.1,31.1,83.9,0.972,0.18899999999999997,17.5,13113.0,93.5,59.0,101.0,94.0,58.0,16.7,12574.0,0.1,24.0,1.4,0.764,0.7859999999999999,0.775,0.73,10.0,10.0,10.0,17.5,8.1,13.5,8.5,0.695,0.6970000000000001,0.632,0.773,3.0,14.0,1029.0,62.1,44.4,61.0,52.4,74.9,77.7,72.1,0.845,0.7859999999999999,17.0,10.7,10.2,11.3,132.2,79.0,5.8,152.0,6.6,23.6,61.0,10.1,17.5,86.7,82.3,91.6,6.0,1.4,8.9,0.5,55.6,1.4,-4.8,16.0,1.4,8.36,23.4,99.4,44.2,34.0,1.1,24.0,19.2,46.7,28.2,83.0,0.6,24.9,1.03
 Sierra Leone,0.3,123.0,310.0,0.11,0.2,1.25,0.66,40.0,0.6970000000000001,19.7,14.5,0.374,57.7,36.3,55.3,1467.0,1854.0,9.5,9.1,10.0,83.2,7.5,41.3,41.3,,0.8690000000000001,0.652,13.7,1692.0,12.0,,,,,13.1,1658.0,1.7,310.0,,0.39399999999999996,0.45299999999999996,0.423,0.424,40.0,40.0,40.0,13.7,49.6,19.2,51.2,0.18899999999999997,0.247,0.34299999999999997,0.23199999999999998,12.0,20.0,44.0,6.1,57.3,58.7,58.0,51.0,51.5,50.4,0.47600000000000003,0.45299999999999996,1410.0,3.3,2.5,4.2,67.2,398.0,89.4,406.0,124.9,4.6,58.7,41.6,13.7,23.1,16.8,29.7,3.9,0.2,7.1,1.1,40.4,,-7.5,,,1.25,73.1,,52.2,12.1,0.68,310.0,4.7,9.5,86.3,12.5,66.6,79.1,0.66
 Slovakia,4.5,22.2,6.8,0.21,5.7,2.37,1.01,6.1,0.174,6.9,65.2,0.821,3.5,61.1,51.5,20018.0,33992.0,14.8,15.4,14.3,180.3,-0.4,40.3,40.3,63.9,0.9890000000000001,0.187,22.0,27285.0,147.8,92.0,100.0,91.0,53.0,20.7,26808.0,0.1,6.8,1.3,0.8370000000000001,0.846,0.845,0.845,6.1,6.1,6.1,22.0,1.5,11.3,5.6,0.8079999999999999,0.792,0.7490000000000001,0.821,1.0,3.0,1475.0,80.0,51.1,68.1,59.3,76.5,80.0,72.9,0.87,0.846,6.0,12.3,12.0,12.3,117.4,63.0,5.2,154.0,6.2,19.2,68.1,6.2,22.0,99.3,99.2,99.5,3.9,0.7,5.4,0.3,54.0,1.3,-1.7,15.0,1.3,2.37,12.2,100.0,45.3,18.7,1.06,6.8,13.2,29.7,12.2,80.0,,21.4,1.01
 Slovenia,8.7,4.6,7.9,0.22,6.2,0.74,1.04,5.8,0.156,8.5,68.1,0.8759999999999999,9.6,59.4,52.1,24649.0,32184.0,17.3,18.0,16.6,144.2,2.0,62.0,62.0,59.7,1.0,0.063,19.6,28418.0,58.6,92.0,99.0,110.0,82.0,19.4,28386.0,0.1,7.9,0.8,0.8859999999999999,0.8859999999999999,0.887,0.853,5.8,5.8,5.8,19.6,2.6,11.0,3.8,0.8540000000000001,0.835,0.759,0.897,2.0,6.0,2411.0,71.6,52.4,63.2,57.7,80.6,83.5,77.6,0.932,0.8859999999999999,9.0,11.9,11.8,12.1,112.3,44.0,2.0,95.0,2.5,26.0,63.2,5.9,19.6,97.3,96.5,98.4,1.4,0.4,2.1,0.1,53.6,0.8,-12.6,17.0,0.8,0.74,22.3,100.0,45.6,26.9,1.19,7.9,9.7,20.2,15.1,97.0,,21.5,1.04
 South Africa,-0.1,48.4,834.0,0.72,9.0,0.26,1.07,33.0,0.11900000000000001,7.9,185.2,0.703,4.7,71.9,40.1,9280.0,14949.0,13.3,13.7,13.1,64.4,1.7,7.6,7.6,86.9,0.986,0.4,20.5,12390.0,675.7,80.0,98.0,102.0,20.0,20.4,12064.0,18.8,834.0,32.6,0.682,0.6920000000000001,0.685,0.7240000000000001,33.0,33.0,33.0,20.5,16.1,57.3,25.7,0.59,0.441,0.309,0.469,15.0,29.0,9549.0,49.0,46.6,60.7,53.4,61.0,64.6,57.5,0.631,0.6920000000000001,140.0,10.0,10.1,10.4,145.4,304.0,35.6,431.0,44.5,7.6,60.7,35.7,20.5,74.9,73.7,76.2,35.7,2.7,54.5,5.6,64.3,32.6,-3.3,33.0,32.6,0.26,16.6,75.4,44.3,40.7,1.17,834.0,24.9,51.3,8.9,70.4,16.0,45.2,1.07
 Spain,6.2,9.2,12.0,0.16,5.0,0.22,1.0,11.0,0.092,9.1,211.2,0.813,4.2,76.3,44.2,23981.0,38446.0,17.6,18.0,17.3,63.0,2.5,36.8,36.8,71.5,0.977,0.087,19.5,31195.0,1450.0,97.0,104.0,130.0,89.0,19.3,31088.0,0.4,12.0,0.7,0.8690000000000001,0.889,0.88,0.867,11.0,11.0,11.0,19.5,5.2,23.9,3.9,0.7709999999999999,0.779,0.66,0.929,2.0,4.0,64939.0,76.2,52.4,65.0,58.5,82.8,85.6,80.0,0.966,0.889,5.0,9.7,9.5,10.0,109.2,38.0,2.8,77.0,3.4,27.8,65.0,11.5,19.5,73.7,70.9,76.7,31.0,8.6,46.5,2.2,79.4,0.7,-0.3,13.0,0.7,0.22,17.4,100.0,46.2,37.0,1.08,12.0,24.4,53.4,12.6,97.6,,22.4,1.0
 Sri Lanka,23.2,16.8,65.0,0.08,0.9,8.87,1.38,11.6,0.204,2.8,60.9,0.7490000000000001,28.5,45.1,51.7,5813.0,15325.0,13.9,14.3,13.6,50.3,1.1,33.1,33.1,50.3,0.934,0.371,32.3,10650.0,221.2,94.0,101.0,,19.0,27.7,10403.0,0.1,65.0,2.7,0.731,0.7829999999999999,0.763,0.7020000000000001,11.6,11.6,11.6,32.3,12.8,13.7,8.3,0.653,0.674,0.605,0.775,1.0,1.0,1527.0,25.8,34.8,75.4,54.1,74.9,78.3,71.5,0.845,0.7829999999999999,31.0,10.9,10.3,11.4,107.3,75.0,8.5,200.0,9.9,13.4,75.4,11.6,32.3,80.5,80.2,80.6,13.7,1.8,20.6,1.7,18.2,2.7,-3.6,24.0,2.7,8.87,57.6,90.6,31.2,5.8,2.52,65.0,4.4,20.8,40.8,83.1,11.6,37.4,1.38
 Suriname,34.9,48.3,33.0,0.24,3.6,0.17,1.93,23.3,0.45899999999999996,5.8,38.7,0.621,2.7,73.1,49.8,10538.0,19651.0,12.5,13.0,12.0,97.9,-1.1,98.3,98.3,76.3,0.977,0.48700000000000004,70.7,15307.0,8.4,92.0,118.0,74.0,,70.7,15115.0,1.3,33.0,,0.7090000000000001,0.725,0.718,0.758,23.3,23.3,23.3,70.7,19.0,37.3,13.6,0.503,0.546,0.475,0.68,9.0,15.0,252.0,40.1,42.2,65.1,53.6,71.1,74.4,68.0,0.787,0.725,158.0,8.2,8.2,8.5,169.3,121.0,19.0,222.0,21.3,9.9,65.1,24.0,70.7,57.6,57.7,56.8,0.4,0.0,0.5,0.1,66.1,,-3.1,13.0,,0.17,25.4,72.3,38.1,11.8,3.22,33.0,6.9,15.8,13.0,,9.5,41.2,1.93
 Sweden,17.8,5.4,7.5,0.1,4.5,0.79,0.94,6.6,0.091,11.1,156.7,0.882,2.0,79.4,58.9,39267.0,51043.0,17.0,17.8,16.3,85.8,-1.5,68.9,68.9,29.7,0.996,0.045,23.4,44168.0,428.3,96.0,121.0,133.0,62.0,23.1,45149.0,0.2,7.5,0.9,0.9179999999999999,0.9209999999999999,0.92,0.9229999999999999,6.6,6.6,6.6,23.4,3.5,13.1,3.1,0.851,0.8590000000000001,0.802,0.9259999999999999,1.0,3.0,5660.0,92.5,60.3,67.6,63.9,82.1,83.9,80.3,0.956,0.9209999999999999,4.0,12.3,12.4,12.2,127.1,43.0,2.4,66.0,2.9,30.5,67.6,6.7,23.4,88.0,87.8,88.3,6.2,1.9,9.7,0.6,86.2,0.9,4.9,12.0,0.9,0.79,49.7,100.0,48.2,44.7,0.93,7.5,7.9,22.5,6.7,99.8,,26.9,0.94
 Switzerland,16.2,3.4,5.9,0.07,4.3,0.34,1.0,7.3,0.256,11.6,174.0,0.892,3.6,75.1,64.7,47483.0,67686.0,16.0,16.0,16.1,116.9,3.0,31.6,31.6,48.7,0.988,0.046,23.2,57218.0,468.5,105.0,103.0,100.0,57.0,23.9,57472.0,,5.9,0.5,0.9329999999999999,0.9440000000000001,0.9390000000000001,0.96,7.3,7.3,7.3,23.2,5.7,12.3,3.9,0.841,0.87,0.8420000000000001,0.9309999999999999,3.0,6.0,9158.0,87.4,62.0,74.1,68.0,83.0,85.0,80.9,0.9690000000000001,0.9440000000000001,5.0,13.4,13.9,12.9,135.5,37.0,3.7,63.0,4.2,26.4,74.1,7.4,23.2,96.7,96.1,97.4,5.5,1.5,8.2,0.4,73.7,0.5,0.1,10.0,0.5,0.34,23.4,100.0,46.8,28.9,1.06,5.9,4.8,8.6,9.3,96.7,,21.9,1.0
 Tajikistan,,38.3,91.0,0.24,0.6,36.64,1.11,16.9,0.35,6.7,19.5,0.664,53.7,31.4,53.0,2110.0,4083.0,11.2,10.5,11.9,53.9,3.3,3.0,3.0,54.9,0.9179999999999999,0.33899999999999997,26.2,2547.0,21.3,10.0,96.0,,25.0,25.8,3102.0,0.3,91.0,,0.618,0.674,0.645,0.519,16.9,16.9,16.9,26.2,6.5,15.0,29.3,0.621,0.5329999999999999,0.441,0.551,2.0,2.0,213.0,17.5,45.9,72.6,59.2,70.7,73.8,68.0,0.78,0.674,33.0,10.6,10.7,11.2,95.7,106.0,39.5,166.0,46.0,5.4,72.6,17.5,26.2,93.3,98.0,88.2,5.1,0.3,8.4,1.1,26.7,,-3.4,22.0,,36.64,45.8,100.0,24.1,15.2,1.12,91.0,10.5,18.5,51.2,9.1,51.2,57.1,1.11
 Tanzania (United Republic of),13.4,120.4,327.0,0.1,0.2,0.81,1.23,27.2,0.257,6.4,20.2,0.42,68.1,25.7,81.7,2041.0,2720.0,8.4,8.3,8.9,49.2,3.5,52.4,52.4,14.4,0.9259999999999999,0.547,30.1,2402.0,121.8,32.0,83.0,,,32.6,2376.0,5.0,327.0,7.5,0.498,0.5379999999999999,0.515,0.479,27.2,27.2,27.2,30.1,28.5,22.7,30.4,0.301,0.375,0.37,0.473,1.0,1.0,1113.0,7.0,79.5,87.5,83.4,64.2,66.1,62.3,0.679,0.5379999999999999,418.0,5.6,5.2,6.2,61.0,224.0,42.6,287.0,60.9,6.0,87.5,27.3,30.1,12.6,10.1,15.3,27.0,1.6,52.2,9.2,30.9,7.5,-3.5,43.0,7.5,0.81,86.7,4.3,44.3,36.0,1.69,327.0,2.1,3.7,83.9,34.3,70.2,87.7,1.23
 Thailand,11.0,50.8,171.0,0.31,4.6,1.6,1.19,20.0,0.076,3.7,167.2,0.629,33.4,43.1,70.2,12385.0,15906.0,13.5,14.4,13.8,131.8,1.2,32.0,32.0,79.8,0.9990000000000001,0.381,23.9,14857.0,1016.5,71.0,102.0,120.0,50.0,24.6,14106.0,1.2,171.0,3.9,0.74,0.741,0.735,0.748,20.0,20.0,20.0,23.9,16.1,34.0,9.8,0.528,0.583,0.493,0.762,1.0,1.0,24810.0,34.9,62.5,79.3,70.6,74.9,78.7,71.2,0.845,0.741,21.0,7.6,7.3,7.8,141.9,95.0,11.2,206.0,13.0,14.2,79.3,20.7,23.9,43.3,39.6,45.8,49.0,7.0,68.4,3.9,46.9,3.9,3.1,15.0,3.9,1.6,24.1,100.0,47.3,6.1,1.0,171.0,0.6,3.2,49.8,75.4,0.7,25.5,1.19
 The former Yugoslav Republic of Macedonia,10.9,17.6,17.0,0.29,3.6,3.23,1.02,16.1,0.18899999999999997,6.2,54.5,0.6759999999999999,18.5,51.2,40.2,8962.0,15156.0,13.0,13.1,12.9,112.5,0.5,39.6,39.6,79.3,0.945,,30.3,12298.0,25.6,34.0,91.0,81.0,38.0,23.4,12058.0,0.1,17.0,1.6,0.723,0.765,0.747,0.7240000000000001,16.1,16.1,16.1,30.3,10.6,30.1,7.6,0.604,0.622,0.506,0.787,2.0,7.0,425.0,68.1,43.9,68.0,55.9,75.4,77.4,73.4,0.852,0.765,8.0,9.5,8.9,9.8,107.1,69.0,10.1,128.0,11.5,17.3,68.0,16.7,30.3,,,,1.5,0.3,2.1,0.1,57.3,1.6,-8.0,15.0,1.6,3.23,21.2,100.0,39.2,33.3,1.04,17.0,28.0,53.1,24.8,64.0,6.4,24.0,1.02
 Togo,-22.9,90.8,58.0,0.28,0.4,9.53,0.82,33.1,0.247,6.5,40.5,0.499,40.2,42.1,76.5,893.0,1380.0,12.3,9.8,13.1,107.4,1.2,3.8,3.8,17.2,0.797,0.5720000000000001,23.1,1315.0,9.5,15.0,123.0,,10.0,23.8,1135.0,2.3,58.0,,0.418,0.525,0.48100000000000004,0.36700000000000005,33.1,33.1,33.1,23.1,38.9,23.5,36.8,0.305,0.321,0.281,0.385,9.0,18.0,282.0,5.7,76.1,79.8,77.9,59.6,60.4,58.8,0.609,0.525,378.0,4.7,3.2,6.3,62.5,259.0,53.4,291.0,80.4,5.1,79.8,33.4,23.1,35.5,23.1,48.9,4.0,0.2,7.2,1.1,39.6,,11.1,41.0,,9.53,72.2,16.3,53.0,17.6,0.76,58.0,1.9,2.8,81.1,15.1,66.1,76.8,0.82
