,Adjusted net savings (% of GNI),"Adolescent birth rate (births per 1,000 women ages 15-19)",Birth registration (% under age 5),Carbon dioxide emissions (kg per 2011 PPP $ of GDP),Carbon dioxide emissions per capita (tonnes),Child labour (% ages 5-14),"Child malnutrition, stunting (moderate or severe) (% under age 5)",Current health expenditure (% of GDP),Domestic credit provided by financial sector (% of GDP),Education Index,Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment to population ratio (% ages 15 and older),"Estimated gross national income per capita, female (2011 PPP$)","Estimated gross national income per capita, male (2011 PPP$)",Expected years of schooling (years),"Expected years of schooling, female (years)","Expected years of schooling, male (years)",Exports and imports (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Forest area (% of total land area),"Forest area, change (%)",Fossil fuel energy consumption (% of total energy consumption),Gender Development Index (GDI),Gender Inequality Index (GII),Government expenditure on education (% of GDP),Gross capital formation (% of GDP),Gross domestic product (GDP) per capita (2011 PPP $),"Gross domestic product (GDP), total (2011 PPP $ billions)","Gross enrolment ratio, pre-primary (% of preschool-age children)","Gross enrolment ratio, primary (% of primary school-age population)","Gross enrolment ratio, secondary (% of secondary school-age population)","Gross enrolment ratio, tertiary (% of tertiary school-age population)",Gross fixed capital formation (% of GDP),Gross national income (GNI) per capita (2011 PPP$),"HIV prevalence, adult (% ages 15-49), total",Homeless people due to natural disaster (average annual per million people),"Homicide rate (per 100,000 people)","Human Development Index (HDI), female","Human Development Index (HDI), male",Human Development Index (HDI),Income Index,"Income quintile ratio, average annual change (%)","Infants lacking immunization, DTP (% of one-year-olds)","Infants lacking immunization, measles (% of one-year-olds)",International inbound tourists (thousands),"Internet users, total (% of population)","Labour force participation rate (% ages 15 and older), female","Labour force participation rate (% ages 15 and older), male",Labour force participation rate (% ages 15 and older),Life expectancy at birth (years),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)",Life expectancy Index,Mandatory paid maternity leave (days),"Maternal mortality ratio (deaths per 100,000 live births)",Mean years of schooling (years),"Mean years of schooling, female (years)","Mean years of schooling, male (years)",Median age (years),Mobile phone subscriptions (per 100 people),"Mortality rate, female adult (per 1,000 people)","Mortality rate, infant (per 1,000 live births)","Mortality rate, male adult (per 1,000 people)","Mortality rate, under-five (per 1,000 live births)",MPI 2018_ Contribution to Education,MPI 2018_ Contribution to Health,MPI 2018_ Contribution to Standard of Living,Multidimensional poverty index (MPI),"Net migration rate (per 1,000 people)",Net official development assistance received (% of GNI),Old age dependency ratio (old age (65 and older) per 100 people (ages 15-64)),Old age pension recipients (% of statutory pension age population),"Overall loss in HDI value due to inequality, average annual change (%)","Population in multidimensional poverty, headcount (%)","Population in multidimensional poverty, headcount (thousands) (for the year of survey)","Population in multidimensional poverty, headcount (thousands) (projections for 2016)","Population in multidimensional poverty, intensity of deprivation (%)",Population in severe multidimensional poverty (%),"Population living below income poverty line, PPP $1",Population using improved drinking-water sources (%),Population using improved sanitation facilities (%),Population vulnerable to multidimensional poverty (%),Population with at least some secondary education (% ages 25 and older),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)","Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Population, total (millions)","Population, under age 5 (millions)","Population, urban (%)","Prison population (per 100,000 people)",Private capital flows (% of GDP),Proportion of births attended by skilled health personnel (%),"Pupil-teacher ratio, primary school (number of pupils per teacher)",Refugees by country of origin (thousands),"Remittances, inflows (% of GDP)",Renewable energy consumption (% of total final energy consumption),Rural population with access to electricity (%),Sex ratio at birth (male to female births),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Share of seats in parliament (% held by women),Total unemployment rate (female to male ratio),"Tuberculosis incidence (per 100,000 people)","Unemployment, total (% of labour force)","Unemployment, youth (% ages 15–24)",Vulnerable employment (% of total employment),Working poor at PPP$3,Young age (0-14) dependency ratio (per 100 people ages 15-64),Youth unemployment rate (female to male ratio)
 Moldova (Republic of),11.2,31.0,142.0,0.41,1.4,30.62,0.98,9.6,31.5,0.6759999999999999,40.7,43.3,45.0,3086.0,4385.0,11.9,12.4,11.5,142.8,6.4,11.0,11.0,89.4,0.992,0.295,7.2,30.8,3308.0,11.9,66.0,98.0,88.0,36.0,24.6,3708.0,0.2,142.0,7.1,0.645,0.65,0.648,0.546,30.8,2.0,3.0,67.0,14.6,46.4,50.9,48.5,67.8,71.7,63.9,0.736,0.65,39.0,10.4,10.2,10.6,32.4,26.2,151.0,16.7,312.0,19.6,-0.6,-0.6,-0.6,-0.6,-0.6,5.1,13.9,50.9,30.8,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,85.0,74.1,-0.6,84.6,85.9,91.5,3.0,0.4,4.2,0.2,42.8,7.1,-6.2,99.5,18.0,7.1,30.62,4.3,98.0,1.06,51.7,21.8,0.7,142.0,7.3,18.4,30.1,28.8,25.9,0.98
 Mongolia,20.9,21.5,228.0,0.56,3.4,7.01,1.01,4.2,26.6,0.639,45.7,42.5,57.3,4954.0,7063.0,12.7,13.5,11.8,122.4,7.4,7.3,7.3,93.9,1.0170000000000001,0.41200000000000003,4.4,37.5,6047.0,15.3,46.0,98.0,90.0,45.0,27.9,6004.0,0.1,228.0,15.8,0.6629999999999999,0.652,0.65,0.619,37.5,1.0,3.0,338.0,10.1,53.7,64.9,59.3,65.1,69.1,61.5,0.6940000000000001,0.652,95.0,8.6,9.4,9.2,24.0,22.1,174.0,33.4,331.0,41.4,-1.2,-1.2,-1.2,-1.2,-1.2,8.9,5.5,64.9,37.5,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,71.9,52.5,-1.2,82.8,81.5,83.5,1.7,0.1,2.5,0.2,62.5,15.8,-7.4,99.2,34.0,15.8,7.01,5.3,67.1,1.03,47.0,6.7,0.89,228.0,3.3,6.8,66.8,15.5,43.0,1.01
 Montenegro,8.3,16.5,29.0,0.28,3.3,1.6949999999999998,0.97,7.7,17.5,0.718,8.6,72.1,35.3,8531.0,15374.0,13.2,13.5,12.8,104.6,22.2,46.5,46.5,51.8,0.9440000000000001,0.428,4.4,17.7,11761.0,7.2,31.0,113.0,94.0,22.0,18.0,11894.0,0.1,29.0,3.6,0.73,0.773,0.753,0.722,17.7,3.0,8.0,272.0,27.1,42.7,59.1,50.6,73.6,76.2,71.1,0.825,0.773,9.0,10.5,9.8,11.4,35.0,88.1,94.0,9.6,167.0,10.6,-2.6,-2.6,-2.6,-2.6,-2.6,0.2,19.6,59.1,17.7,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,91.2,85.19999999999999,-2.6,84.9,78.8,91.6,0.4,0.1,0.6,0.0,62.5,3.6,-2.2,99.0,22.0,3.6,1.6949999999999998,47.6,99.5,1.08,44.0,13.9,0.94,29.0,30.3,59.6,17.2,0.7,30.2,0.97
 Morocco,26.9,36.1,99.0,0.28,1.5,7.36,0.97,4.8,69.3,0.409,45.5,35.0,45.2,2289.0,8460.0,10.1,9.4,10.7,67.9,2.6,12.1,12.1,84.2,0.8059999999999999,0.586,4.4,30.3,5362.0,166.0,58.0,106.0,50.0,12.0,28.5,5337.0,0.1,99.0,1.5,0.507,0.629,0.58,0.601,30.3,1.0,3.0,5843.0,15.1,26.7,76.4,50.8,71.5,72.9,69.9,0.792,0.629,190.0,3.9,2.8,4.9,24.4,40.6,100.0,34.6,127.0,40.5,-4.4,-4.4,-4.4,-4.4,-4.4,1.2,9.1,76.4,30.3,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,70.6,74.2,-4.4,22.7,17.9,27.7,19.4,1.8,30.5,3.1,55.2,1.5,-2.7,98.2,27.0,1.5,7.36,20.7,62.0,1.06,19.0,6.4,1.07,99.0,11.0,15.9,59.1,18.1,48.4,0.97
 Mozambique,-4.6,187.4,523.0,0.12,0.1,0.76,0.98,6.4,7.1,0.318,79.3,17.4,66.6,648.0,774.0,8.0,7.2,8.9,76.4,1.6,51.0,51.0,6.0,0.8590000000000001,0.625,4.4,19.0,742.0,15.5,57.0,97.0,13.0,1.0,13.2,709.0,13.7,523.0,5.2,0.32899999999999996,0.38299999999999995,0.35700000000000004,0.29600000000000004,19.0,13.0,22.0,578.0,0.9,87.1,82.9,85.1,51.4,53.0,49.6,0.483,0.38299999999999995,762.0,2.9,2.1,3.6,17.1,7.2,391.0,89.8,448.0,133.5,0.3,0.3,0.3,0.3,0.3,17.5,6.0,82.9,19.0,0.3,0.3,0.3,0.3,0.3,0.3,30.2,15.8,0.3,3.2,5.4,15.8,10.7,0.6,20.9,3.8,30.0,5.2,-0.3,48.5,66.0,5.2,0.76,93.6,1.5,1.03,27.0,34.8,1.25,523.0,21.7,38.5,87.2,90.5,88.7,0.98
 Myanmar,8.3,38.0,403.0,0.1,0.2,1.08,1.07,1.8,23.1,0.344,69.5,18.8,68.9,1548.0,3014.0,8.1,12.75,12.2,0.3,2.0,51.0,51.0,29.5,0.94,0.428,4.4,22.4,2275.0,110.3,57.0,101.0,45.0,26.0,21.7,2264.0,0.9,403.0,1.4,0.672,0.715,0.47700000000000004,0.47100000000000003,22.4,24.0,16.0,660.0,0.1,56.1,84.0,69.5,63.6,65.6,61.6,0.6709999999999999,0.715,248.0,3.5,3.6,3.4,24.7,0.3,197.0,57.8,254.0,77.8,-5.3,-5.3,-5.3,-5.3,-5.3,1.2,7.5,84.0,22.4,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,59.0,67.9,-5.3,16.2,19.4,12.9,31.2,2.3,48.5,5.3,27.9,1.4,-2.2,72.5,31.0,1.4,1.08,79.6,32.1,1.03,42.1,13.9,1.43,403.0,0.9,1.6,73.0,83.4,48.1,1.07
 Namibia,21.2,81.7,918.0,0.16,1.1,0.24,1.13,12.4,53.2,0.516,26.8,57.9,45.0,5564.0,8839.0,11.4,11.4,11.4,80.8,5.4,9.3,9.3,63.1,0.951,0.526,4.4,19.7,7260.0,14.8,57.0,109.0,63.0,7.0,18.6,7155.0,15.0,918.0,3.6,0.541,0.569,0.556,0.645,19.7,7.0,27.0,778.0,4.0,52.0,64.4,57.9,53.6,55.3,51.8,0.516,0.569,390.0,6.0,6.0,5.9,19.6,22.1,475.0,44.1,521.0,71.0,-5.1,-5.1,-5.1,-5.1,-5.1,1.6,5.8,64.4,19.7,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,77.6,30.1,-5.1,30.6,30.1,31.1,1.2,0.1,2.0,0.3,36.6,3.6,8.8,98.2,31.0,3.6,0.24,32.1,21.6,1.03,49.0,26.9,1.25,918.0,22.2,44.2,36.8,37.0,70.0,1.13
 Nepal,24.8,106.8,163.0,0.07,0.1,14.9,0.78,4.5,42.2,0.359,76.0,19.3,83.0,1310.0,2074.0,9.6,8.8,10.3,44.1,0.0,25.4,25.4,10.6,0.8320000000000001,0.652,3.4,26.5,1684.0,43.2,36.0,115.0,49.0,8.0,19.9,1689.0,0.3,163.0,3.4,0.43,0.517,0.475,0.42700000000000005,26.5,19.0,26.0,375.0,0.8,79.9,88.7,84.2,65.5,66.8,64.3,0.701,0.517,444.0,2.8,1.7,4.0,20.0,0.9,184.0,47.3,223.0,61.5,-6.5,-6.5,-6.5,-6.5,-6.5,5.2,7.7,88.7,26.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,82.4,28.4,-6.5,23.2,13.3,34.4,14.4,1.1,25.6,3.4,15.1,3.4,-2.2,98.2,40.0,3.4,14.9,89.5,39.8,1.07,31.9,6.4,0.71,163.0,1.5,2.5,82.1,62.9,70.8,0.78
 Netherlands,14.4,7.1,7.9,0.26,11.1,0.19,1.01,9.3,166.2,0.8440000000000001,3.3,76.1,61.3,34310.0,52299.0,16.4,16.3,16.5,124.6,30.9,10.8,10.8,93.1,0.9620000000000001,0.083,5.2,20.9,43507.0,710.0,57.0,107.0,118.0,59.0,20.6,43230.0,0.2,7.9,1.1,0.8740000000000001,0.909,0.8909999999999999,0.917,20.9,2.0,5.0,10012.0,81.0,56.6,72.3,64.4,79.4,81.5,77.1,0.914,0.909,11.0,11.6,11.4,12.2,39.0,96.7,61.0,4.5,83.0,5.4,1.8,1.8,1.8,1.8,1.8,2.3,20.9,72.3,20.9,1.8,1.8,1.8,1.8,1.8,1.8,100.0,97.9,1.8,88.4,86.4,90.4,11.1,2.3,16.4,1.0,82.6,1.1,0.6,98.2,22.0,1.1,0.19,2.8,100.0,1.06,45.1,34.2,1.16,7.9,4.7,8.2,8.7,28.8,27.1,1.01
 New Zealand,9.7,26.7,9.2,0.26,8.3,0.31,1.04,8.3,126.4,0.888,7.2,70.7,64.6,22564.0,36470.0,19.1,20.0,18.3,58.0,1.7,38.7,38.7,68.2,0.965,0.188,6.3,25.4,31352.0,129.6,57.0,100.0,120.0,26.0,24.7,29376.0,0.4,9.2,1.5,0.877,0.909,0.888,0.858,25.4,8.0,18.0,2353.0,62.7,60.1,74.7,67.2,79.7,81.8,77.6,0.919,0.909,14.0,11.7,12.1,12.4,35.5,85.4,60.0,5.4,94.0,6.6,6.7,6.7,6.7,6.7,6.7,2.3,18.2,74.7,25.4,6.7,6.7,6.7,6.7,6.7,6.7,100.0,100.0,6.7,67.0,81.0,83.0,2.7,0.5,4.1,0.3,86.3,1.5,-2.3,94.0,16.0,1.5,0.31,29.3,100.0,1.05,47.1,32.2,1.17,9.2,3.8,9.8,12.0,28.8,32.5,1.04
 Nicaragua,5.6,113.2,44.0,0.21,0.8,9.74,1.09,5.5,61.6,0.488,28.9,51.4,59.0,2185.0,5216.0,11.0,11.4,10.9,71.6,3.8,28.8,28.8,47.9,0.938,0.542,4.4,25.9,3772.0,20.3,41.0,121.0,69.0,26.0,21.7,3681.0,0.3,44.0,13.6,0.574,0.612,0.596,0.545,25.9,8.0,4.0,712.0,2.6,44.1,82.1,62.5,71.9,74.9,68.9,0.799,0.612,190.0,5.5,5.5,5.5,21.2,20.8,129.0,26.1,226.0,31.4,-6.7,-6.7,-6.7,-6.7,-6.7,12.4,7.2,82.1,25.9,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,81.1,65.7,-6.7,33.8,33.9,34.9,3.2,0.2,5.4,0.6,55.9,13.6,-2.2,79.8,34.0,13.6,9.74,53.9,43.6,1.05,46.9,20.7,1.13,44.0,5.6,8.6,45.4,34.2,60.2,1.09
 Niger,0.2,215.5,143.0,0.07,0.1,1.95,0.69,7.2,9.1,0.14400000000000002,77.6,15.5,76.6,562.0,962.0,3.6,3.0,4.3,47.4,1.5,1.0,1.0,14.0,0.73,0.7020000000000001,4.4,22.8,763.0,10.4,1.0,48.0,10.0,1.0,21.4,761.0,1.0,143.0,3.6,0.23600000000000002,0.324,0.28300000000000003,0.307,22.8,42.0,53.0,58.0,0.2,67.8,90.9,79.0,53.1,53.8,52.5,0.51,0.324,723.0,1.3,0.7,1.9,15.4,2.4,268.0,79.3,295.0,172.3,-0.5,-0.5,-0.5,-0.5,-0.5,15.4,5.0,90.9,22.8,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,40.5,8.1,-0.5,4.7,2.0,7.3,6.6,0.3,13.6,2.8,16.2,3.6,-2.2,98.2,44.0,3.6,1.95,87.6,94.80000000000001,1.05,50.3,12.4,0.54,143.0,3.1,5.6,90.5,88.1,101.5,0.69
 Nigeria,-2.5,130.3,219.0,0.18,0.8,13.04,1.14,3.8,8.6,0.426,51.2,40.4,52.4,2712.0,4607.0,9.0,8.2,9.9,50.7,4.4,12.2,12.2,21.7,0.836,0.428,4.4,5.5,4149.0,576.5,44.0,101.0,35.0,10.0,5.5,3669.0,3.9,219.0,11.8,0.42200000000000004,0.505,0.465,0.544,5.5,52.0,59.0,1010.0,3.5,47.8,61.7,54.8,48.2,49.0,47.5,0.435,0.505,946.0,5.2,4.3,6.2,18.0,13.4,381.0,96.5,414.0,157.9,-0.3,-0.3,-0.3,-0.3,-0.3,6.5,5.1,61.7,5.5,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,53.6,35.0,-0.3,55.2,51.7,55.8,74.5,3.8,138.9,24.3,39.1,11.8,-4.0,98.2,37.0,11.8,13.04,84.1,23.9,1.06,49.4,5.8,1.02,219.0,4.3,9.9,82.9,72.5,81.5,1.14
 Norway,21.2,10.0,6.9,0.15,9.2,0.16,0.94,8.3,106.8,0.9009999999999999,3.3,75.9,62.6,50412.0,76640.0,17.5,18.2,16.8,70.9,3.3,33.1,33.1,55.0,0.9890000000000001,0.085,6.9,22.6,62865.0,290.6,88.0,99.0,114.0,79.0,20.3,63424.0,0.4,6.9,0.7,0.924,0.935,0.932,0.975,22.6,1.0,10.0,3824.0,82.0,60.7,70.3,65.4,80.0,82.3,77.5,0.9229999999999999,0.935,7.0,12.4,12.4,12.5,38.0,102.6,56.0,3.2,88.0,4.0,3.0,3.0,3.0,3.0,3.0,2.3,22.6,70.3,22.6,3.0,3.0,3.0,3.0,3.0,3.0,100.0,98.1,3.0,96.6,96.6,96.7,3.0,0.7,4.6,0.3,77.7,0.7,9.6,99.2,22.0,0.7,0.16,58.6,100.0,1.05,48.0,37.9,0.91,6.9,4.4,11.4,6.0,28.8,29.9,0.94
 Oman,-2.7,21.1,12.0,0.29,11.9,0.13,1.32,2.6,27.8,0.5529999999999999,6.8,75.5,45.3,13528.0,61437.0,11.7,11.6,11.8,89.3,4.9,0.0,0.0,73.95,0.879,0.389,3.5,21.4,41458.0,104.1,57.0,93.0,88.0,18.0,22.0,40625.0,0.4,12.0,2.1,0.687,0.782,0.748,0.907,21.4,1.0,2.0,891.0,6.7,25.2,77.4,56.1,74.2,76.6,72.3,0.8340000000000001,0.782,20.0,6.8,6.1,7.7,22.9,53.1,86.0,11.0,137.0,12.8,1.3,1.3,1.3,1.3,1.3,0.1,4.0,77.4,21.4,1.3,1.3,1.3,1.3,1.3,1.3,76.6,91.8,1.3,45.1,38.4,48.8,1.6,0.1,2.5,0.3,72.4,2.1,-4.6,98.0,22.0,2.1,0.13,0.0,94.80000000000001,1.05,14.6,7.8,2.69,12.0,19.2,48.7,9.9,0.6,50.0,1.32
 Pakistan,12.8,45.9,276.0,0.22,0.9,3.91,1.05,2.9,46.5,0.33,43.1,36.6,48.6,977.0,7038.0,6.5,5.7,7.4,35.3,2.0,2.5,2.5,60.9,0.675,0.595,2.3,19.1,4013.0,617.7,51.0,88.0,26.0,5.0,17.5,4101.0,0.1,276.0,6.4,0.361,0.535,0.5,0.561,19.1,27.0,39.0,798.0,6.3,19.3,84.1,52.6,63.8,64.8,63.0,0.674,0.535,249.0,4.5,1.5,4.0,20.2,8.3,166.0,80.3,196.0,101.6,-0.9,-0.9,-0.9,-0.9,-0.9,1.4,7.4,84.1,19.1,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,88.9,40.7,-0.9,32.5,19.9,32.1,88.6,6.5,153.9,20.1,34.0,6.4,-2.8,31.0,38.0,6.4,3.91,47.5,74.3,1.1,9.7,20.6,2.0,276.0,7.7,11.8,61.2,54.3,66.2,1.05
 Panama,12.4,89.7,61.0,0.17,2.1,0.79,1.18,6.6,85.3,0.6579999999999999,15.7,67.1,57.9,7985.0,14371.0,12.9,13.5,12.3,135.7,6.7,64.3,64.3,73.7,0.985,0.475,4.4,27.8,11938.0,39.8,60.0,107.0,68.0,42.0,20.7,11199.0,0.7,61.0,10.9,0.726,0.737,0.7390000000000001,0.713,27.8,5.0,1.0,702.0,11.5,48.0,81.1,64.6,75.9,78.8,73.3,0.861,0.737,87.0,9.0,8.8,8.4,25.9,52.5,88.0,19.4,162.0,22.8,1.0,1.0,1.0,1.0,1.0,0.1,9.6,81.1,27.8,1.0,1.0,1.0,1.0,1.0,1.0,90.5,68.4,1.0,56.8,55.7,52.7,2.1,0.2,3.3,0.4,63.7,10.9,-0.8,91.1,24.0,10.9,0.79,27.0,61.4,1.05,40.8,16.7,1.53,61.0,10.3,25.3,31.9,14.2,47.9,1.18
 Paraguay,8.0,76.6,43.0,0.11,0.7,1.85,1.24,5.0,17.0,0.581,32.4,51.9,66.2,3332.0,6885.0,12.1,12.1,12.1,104.2,0.1,46.5,46.5,29.0,0.9279999999999999,0.536,4.4,17.0,6120.0,35.5,36.0,112.0,67.0,26.0,16.6,5131.0,0.4,43.0,15.3,0.62,0.6679999999999999,0.649,0.595,17.0,3.0,9.0,341.0,7.9,55.0,85.3,70.3,71.3,73.4,69.2,0.789,0.6679999999999999,159.0,7.3,7.1,7.5,21.9,32.6,140.0,23.8,182.0,28.5,-1.7,-1.7,-1.7,-1.7,-1.7,0.7,8.1,85.3,17.0,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,83.5,78.7,-1.7,41.7,39.2,44.3,3.5,0.3,5.8,0.7,57.6,15.3,-0.4,87.5,22.0,15.3,1.85,68.8,89.0,1.05,43.9,9.6,1.49,43.0,5.8,12.5,48.9,11.1,58.9,1.24
 Peru,10.4,61.5,153.0,0.18,1.3,1.89,1.0,4.5,17.6,0.653,34.8,51.1,71.9,4788.0,9602.0,13.0,13.0,13.0,47.4,3.4,59.0,59.0,71.6,0.935,0.45,2.8,17.3,7595.0,209.7,64.0,117.0,85.0,33.0,17.1,7194.0,0.4,153.0,3.6,0.672,0.718,0.698,0.6459999999999999,17.3,6.0,23.0,1571.0,17.1,66.7,84.6,75.6,72.5,75.2,69.8,0.807,0.718,114.0,8.7,8.3,9.2,24.3,20.2,110.0,20.9,174.0,27.0,-4.7,-4.7,-4.7,-4.7,-4.7,0.6,9.0,84.6,17.3,-4.7,-4.7,-4.7,-4.7,-4.7,-4.7,83.9,67.7,-4.7,63.5,43.6,50.9,17.3,1.6,27.6,3.0,75.0,3.6,-5.7,98.2,23.0,3.6,1.89,32.7,34.6,1.05,46.1,18.3,1.02,153.0,4.9,9.3,54.8,28.8,50.6,1.0
 Philippines,28.3,53.9,539.0,0.18,0.9,13.32,1.16,3.9,47.2,0.611,36.0,48.5,59.7,4394.0,6948.0,11.5,11.8,11.2,97.9,1.6,23.7,23.7,57.8,0.985,0.467,2.4,21.6,4779.0,412.3,37.0,106.0,83.0,28.0,19.9,5678.0,0.1,539.0,7.5,0.638,0.648,0.65,0.61,21.6,9.0,8.0,2623.0,5.4,47.7,76.6,62.1,67.8,71.1,64.6,0.735,0.648,127.0,8.7,8.4,8.3,21.3,40.3,152.0,27.5,270.0,35.8,-2.7,-2.7,-2.7,-2.7,-2.7,0.5,5.8,76.6,21.6,-2.7,-2.7,-2.7,-2.7,-2.7,-2.7,87.5,69.5,-2.7,59.7,65.1,62.7,51.3,3.0,86.3,11.4,45.7,7.5,-2.1,67.6,35.0,7.5,13.32,31.4,67.2,1.06,45.8,15.4,1.2,539.0,3.8,9.3,44.9,36.3,62.4,1.16
 Poland,6.4,15.5,25.0,0.46,7.9,2.11,1.03,5.8,38.4,0.804,17.4,53.4,45.3,12543.0,21550.0,15.0,15.6,14.4,70.3,3.6,30.0,30.0,96.0,0.9940000000000001,0.16399999999999998,5.4,19.9,17194.0,656.2,54.0,95.0,100.0,64.0,18.9,16904.0,0.4,25.0,1.4,0.7979999999999999,0.8029999999999999,0.8079999999999999,0.775,19.9,1.0,2.0,15200.0,38.8,47.8,63.0,55.1,75.1,79.3,70.9,0.848,0.8029999999999999,6.0,11.6,10.9,11.3,36.6,76.0,79.0,6.5,205.0,7.5,-1.0,-1.0,-1.0,-1.0,-1.0,2.3,18.6,63.0,19.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97.9,90.7,-1.0,77.9,71.1,78.6,27.0,5.0,38.4,1.8,61.5,1.4,-6.4,99.3,12.0,1.4,2.11,7.2,100.0,1.06,44.9,19.1,1.15,25.0,17.8,36.6,21.9,28.8,23.6,1.03
 Portugal,1.3,20.2,36.0,0.23,6.2,0.2,1.17,9.4,142.0,0.677,12.1,57.6,57.3,21097.0,31611.0,15.3,15.8,14.9,62.6,2.2,36.0,36.0,84.1,0.9940000000000001,0.183,5.1,23.7,26593.0,279.3,80.0,117.0,97.0,55.0,23.1,26182.0,0.4,36.0,1.3,0.797,0.8009999999999999,0.8,0.841,23.7,6.0,7.0,5769.0,35.0,55.3,69.3,62.0,78.5,81.8,75.1,0.899,0.8009999999999999,12.0,7.5,7.4,7.6,39.5,108.3,58.0,3.7,140.0,4.7,3.4,3.4,3.4,3.4,3.4,2.3,25.6,69.3,23.7,3.4,3.4,3.4,3.4,3.4,3.4,99.1,98.1,3.4,35.3,32.6,34.4,7.1,1.8,10.6,0.6,57.5,1.3,-0.7,98.2,11.0,1.3,0.2,18.1,100.0,1.06,45.5,21.3,1.28,36.0,7.6,16.2,20.0,28.8,22.9,1.17
 Qatar,8.3,19.0,43.0,0.54,58.9,1.6949999999999998,1.64,2.6,42.7,0.657,3.1,56.5,79.0,36524.0,129392.0,13.1,13.5,13.0,94.7,5.6,0.0,0.0,100.0,0.973,0.428,4.0,34.3,109802.0,95.0,39.0,105.0,99.0,17.0,21.7,99277.0,0.1,43.0,0.7,0.809,0.831,0.831,1.0,34.3,1.0,1.0,913.0,24.7,45.1,94.0,80.2,76.8,78.4,75.7,0.873,0.831,21.0,8.8,9.5,8.4,31.0,82.9,56.0,8.9,72.0,10.4,58.7,58.7,58.7,58.7,58.7,2.3,1.6,94.0,34.3,58.7,58.7,58.7,58.7,58.7,58.7,100.0,99.4,58.7,55.2,62.1,55.8,0.7,0.0,0.9,0.1,97.4,0.7,-2.2,100.0,11.0,0.7,1.6949999999999998,0.0,100.0,1.05,15.8,13.9,5.56,43.0,1.6,9.7,0.3,0.0,28.2,1.64
 Romania,-3.8,37.2,140.0,0.31,4.5,0.95,0.94,5.5,20.6,0.716,32.3,37.3,49.7,11375.0,17142.0,13.7,14.0,13.3,75.9,6.5,27.8,27.8,83.9,0.978,0.35600000000000004,3.5,23.9,14583.0,310.9,73.0,108.0,84.0,45.0,24.3,14186.0,0.1,140.0,2.1,0.747,0.764,0.755,0.748,23.9,1.0,3.0,5839.0,21.5,46.3,61.2,53.5,72.3,76.0,68.7,0.804,0.764,33.0,10.1,9.5,10.7,37.0,62.3,98.0,15.1,227.0,17.9,-4.3,-4.3,-4.3,-4.3,-4.3,2.3,22.1,61.2,23.9,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3,100.0,85.19999999999999,-4.3,83.9,78.8,87.8,14.8,3.3,21.4,1.1,53.2,2.1,-7.2,98.1,17.0,2.1,0.95,18.5,100.0,1.06,44.7,10.7,0.82,140.0,7.2,20.2,33.7,28.8,23.1,0.94
 Russian Federation,8.7,27.6,87.0,0.58,11.3,0.45,0.96,5.1,20.8,0.762,10.2,60.0,57.2,14905.0,23479.0,13.8,14.3,13.2,56.7,2.0,49.4,49.4,90.7,1.04,0.359,3.8,20.1,19326.0,2773.6,69.0,95.0,83.0,73.0,17.8,18895.0,0.4,87.0,24.8,0.767,0.737,0.752,0.792,20.1,1.0,1.0,22201.0,15.2,55.9,68.3,61.6,65.8,72.6,59.5,0.7040000000000001,0.737,42.0,11.4,11.2,11.6,37.3,83.6,173.0,12.0,465.0,13.9,2.4,2.4,2.4,2.4,2.4,2.3,19.5,68.3,20.1,2.4,2.4,2.4,2.4,2.4,2.4,95.6,85.5,2.4,92.0,93.6,94.6,102.0,19.8,143.6,6.9,73.5,24.8,1.8,99.4,17.0,24.8,0.45,3.6,100.0,1.06,50.8,8.0,0.86,87.0,7.2,16.1,6.2,2.1,21.4,0.96
